Inning,Batter_Avg,strike_percentage,At_Bat_Outcome
1,0.197,0.610,strikeout
1,0.274,0.610,hit
1,0.337,0.660,hit
1,0.244,0.660,hit
1,0.283,0.660,strikeout
2,0.252,0.610,hit
2,0.272,0.610,hit
2,0.280,0.610,hit
2,0.281,0.660,hit
2,0.255,0.660,strikeout
2,0.274,0.660,hit
2,0.289,0.660,hit
3,0.261,0.610,hit
3,0.197,0.610,hit
3,0.264,0.660,hit
3,0.337,0.660,hit
3,0.244,0.660,strikeout
4,0.274,0.610,strikeout
4,0.252,0.610,hit
4,0.272,0.610,walk
4,0.280,0.610,hit
4,0.283,0.660,strikeout
4,0.281,0.660,hit
4,0.255,0.660,hit
5,0.261,0.610,hit
5,0.197,0.610,hit
5,0.274,0.660,hit
5,0.289,0.660,strikeout
5,0.264,0.660,hit
6,0.274,0.610,strikeout
6,0.252,0.610,strikeout
6,0.272,0.610,hit
6,0.337,0.660,hit
6,0.244,0.660,hit
6,0.283,0.660,hit
6,0.281,0.660,hit
7,0.280,0.610,hit
7,0.261,0.610,hit
7,0.255,0.660,hit
7,0.274,0.660,hit
7,0.289,0.660,strikeout
8,0.197,0.700,strikeout
8,0.264,0.620,hit
8,0.238,0.620,hit
8,0.337,0.620,walk
8,0.244,0.620,strikeout
8,0.283,0.650,hit
9,0.280,0.660,strikeout
9,0.261,0.660,strikeout
9,0.281,0.640,strikeout
9,0.255,0.640,strikeout
9,0.274,0.640,hit
1,0.337,0.640,hit
1,0.244,0.640,strikeout
1,0.283,0.640,walk
1,0.281,0.640,strikeout
2,0.274,0.640,hit
2,0.289,0.640,hit
2,0.264,0.640,strikeout
3,0.293,0.640,hit
3,0.337,0.640,strikeout
4,0.244,0.640,hit
4,0.283,0.640,strikeout
4,0.281,0.640,hit
4,0.274,0.640,hit
4,0.289,0.640,walk
4,0.264,0.640,hit
5,0.293,0.640,hit
5,0.337,0.640,hit
5,0.244,0.640,hit
8,0.253,0.680,hit
8,0.125,0.680,hit
8,0.264,0.680,hit
9,0.255,0.680,hit
9,0.293,0.680,hit
9,0.337,0.680,hit
9,0.244,0.680,hit
1,0.304,0.610,hit
1,0.253,0.610,hit
1,0.264,0.610,hit
1,0.337,0.640,strikeout
1,0.244,0.640,strikeout
1,0.283,0.640,hit
2,0.125,0.610,strikeout
2,0.207,0.610,hit
2,0.277,0.610,hit
2,0.281,0.640,hit
2,0.225,0.640,strikeout
2,0.255,0.640,hit
2,0.274,0.640,hit
3,0.304,0.610,strikeout
3,0.264,0.640,strikeout
3,0.293,0.640,strikeout
3,0.337,0.640,strikeout
4,0.253,0.610,hit
4,0.264,0.610,hit
4,0.125,0.610,strikeout
4,0.207,0.610,walk
4,0.244,0.640,strikeout
4,0.283,0.640,hit
4,0.281,0.640,hit
5,0.277,0.610,strikeout
5,0.304,0.610,hit
5,0.253,0.610,hit
5,0.225,0.640,hit
5,0.255,0.640,strikeout
5,0.274,0.640,strikeout
6,0.264,0.610,hit
6,0.125,0.610,strikeout
6,0.207,0.610,strikeout
6,0.264,0.640,strikeout
6,0.293,0.640,strikeout
6,0.337,0.640,hit
7,0.304,0.700,strikeout
7,0.244,0.640,walk
7,0.283,0.640,hit
7,0.281,0.640,hit
7,0.225,0.640,hit
7,0.255,0.640,hit
7,0.274,0.640,hit
7,0.264,0.640,hit
7,0.281,0.630,strikeout
8,0.225,0.630,hit
8,0.255,0.630,strikeout
8,0.274,0.630,hit
8,0.264,0.630,hit
1,0.274,0.680,hit
1,0.287,0.680,hit
1,0.254,0.680,hit
1,0.217,0.680,strikeout
2,0.224,0.680,strikeout
2,0.263,0.680,hit
3,0.274,0.680,hit
3,0.287,0.680,strikeout
3,0.254,0.680,strikeout
4,0.217,0.680,strikeout
4,0.224,0.680,hit
4,0.263,0.680,hit
5,0.274,0.680,walk
5,0.287,0.680,strikeout
5,0.254,0.680,hit
5,0.217,0.680,hit
6,0.281,0.650,strikeout
6,0.274,0.650,strikeout
7,0.225,0.650,hit
7,0.247,0.650,hit
7,0.264,0.650,hit
7,0.293,0.650,hit
7,0.337,0.650,hit
7,0.244,0.630,hit
8,0.283,0.630,strikeout
8,0.281,0.630,strikeout
8,0.274,0.630,walk
8,0.225,0.630,hit
9,0.248,0.660,hit
9,0.125,0.660,hit
1,0.337,0.610,hit
1,0.244,0.610,strikeout
1,0.283,0.610,hit
1,0.281,0.610,hit
