Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary,Name-additional
Ronald Acuna Jr.,25,157,157,147,1361.0,296,281,10,5,1,.983,6,5,-2,-2,1,1.92,1.84,,,,,,,,RF-DH,acunaro01
Ehire Adrianza,33,3,2,1,21.0,5,2,2,1,1,.800,-2,-103,-1,-57,0,1.71,1.33,,,,,,,,SS,adriaeh01
Ozzie Albies,26,148,148,146,1314.0,587,211,368,8,79,.986,7,6,0,0,0,3.97,3.91,,,,,,,,2B,albieoz01
Kolby Allard,25,4,3,0,12.1,0,0,0,0,0,,,,0,0,,0.00,0.00,,1,1,0,0%,19%,0,P,allarko01
Nick Anderson,32,35,0,0,35.1,2,2,0,0,0,1.000,,,1,6,0,0.51,0.06,,1,0,2,100%,19%,0,P,anderni01
Orlando Arcia,28,139,136,134,1210.0,518,184,322,12,69,.977,-1,-1,-6,-6,1,3.76,3.64,,,,,,,,SS,arciaor01
Jesse Chavez,39,36,1,0,34.2,6,1,4,1,1,.833,,,0,0,0,1.30,0.14,,0,3,1,25%,19%,0,P,chaveje01
Yonny Chirinos,29,5,5,0,22.1,3,3,0,0,1,1.000,,,0,0,0,1.21,0.60,,1,0,0,,,0,P,chiriyo01
Charlie Culberson,34,1,0,,,,,,,,,,,,,,,,,,,,,,,DH,culbech01
Travis d'Arnaud,34,63,59,56,530.0,580,563,12,5,1,.991,-4,-10,0,0,-1,9.76,8.10,1,25,55,8,13%,19%,1,C-DH,darnatr01
Dylan Dodd,25,7,7,0,34.1,1,0,1,0,0,1.000,,,0,0,0,0.26,0.14,,1,2,1,33%,19%,0,P,dodddy01
Bryce Elder,24,31,31,0,174.2,25,10,15,0,4,1.000,,,0,0,0,1.29,0.81,,11,9,1,10%,19%,0,P,elderbr01
Max Fried,29,14,14,1,77.2,15,6,7,2,0,.867,,,-2,-5,0,1.51,0.93,,3,4,2,33%,19%,2,P,friedma01
Vaughn Grissom,22,23,20,19,179.0,68,22,40,6,8,.912,-8,-51,-7,-47,-1,3.12,2.70,,,,,,,,SS-2B,grissva01
Brad Hand,33,20,0,0,18.0,4,0,4,0,0,1.000,,,0,0,0,2.00,0.20,,0,3,0,0%,19%,0,P,handbr01
Michael Harris II,22,138,137,133,1205.0,316,306,8,2,2,.994,-8,-8,2,2,1,2.35,2.28,,,,,,,,CF,harrimi04
Taylor Hearn,28,1,0,0,0.1,0,0,0,0,0,,,,0,0,,0.00,0.00,,1,0,0,,,0,P,hearnta01
Ben Heller,31,19,0,0,18.2,4,2,1,1,1,.750,,,-1,-11,0,1.45,0.16,,4,0,0,,,0,P,hellebe01
