Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary,Name-additional
Keegan Akin,28,24,1,0,23.2,7,3,2,2,0,.714,,,1,8,0,1.90,0.21,,2,0,2,100%,21%,1,P,akinke01
Bryan Baker,28,46,0,0,45.0,2,1,1,0,0,1.000,,,0,0,0,0.40,0.04,,3,2,5,71%,21%,1,P,bakerbr01
Mike Baumann,27,60,0,0,64.2,8,3,5,0,1,1.000,,,-2,-6,0,1.11,0.13,,7,10,1,9%,21%,1,P,baumami01
Félix Bautista,28,56,0,0,61.0,1,0,1,0,0,1.000,,,-2,-7,0,0.15,0.02,,7,10,2,17%,21%,0,P,bautife01
Eduard Bazardo,27,3,0,0,2.1,1,0,1,0,0,1.000,,,0,0,0,3.86,0.33,,0,0,0,,,0,P,bazared01
Anthony Bemboom,33,6,4,4,39.0,39,38,1,0,0,1.000,0,0,0,0,0,9.00,6.50,0,1,2,0,0%,21%,0,C,bemboan01
Kyle Bradish,26,30,30,0,168.2,27,11,16,0,1,1.000,,,-1,-1,0,1.44,0.90,,9,3,2,40%,21%,0,P,bradiky01
Yennier Cano,29,72,0,0,72.2,25,5,20,0,1,1.000,,,2,6,0,3.10,0.35,,2,7,1,13%,21%,0,P,canoye01
Danny Coulombe,33,61,0,0,51.1,4,0,4,0,0,1.000,,,-1,-4,0,0.70,0.07,,2,11,2,15%,21%,0,P,couloda01
Colton Cowser,23,26,17,14,182.0,43,40,2,1,0,.977,-2,-13,-5,-33,0,2.08,1.45,,,,,,,,CF-RF-LF,cowseco01
Jack Flaherty,27,9,7,0,34.2,11,4,7,0,2,1.000,,,1,6,0,2.86,1.22,,2,1,0,0%,21%,0,P,flaheja01
Adam Frazier,31,136,113,88,1012.2,405,155,245,5,56,.988,-6,-7,-1,-1,-1,3.55,2.82,,,,,,,,2B-RF-LF-DH,fraziad01
Shintaro Fujinami,29,30,0,0,29.2,3,3,0,0,0,1.000,,,-1,-7,1,0.91,0.10,,4,5,0,0%,21%,0,P,fujinsh01
Reed Garrett,30,2,0,0,2.2,1,0,1,0,0,1.000,,,0,0,0,3.38,0.50,,0,0,0,,,0,P,garrere01
Kyle Gibson,35,33,33,0,192.0,34,15,18,1,2,.971,,,3,3,0,1.55,1.00,,8,7,4,36%,21%,1,P,gibsoky01
Logan Gillaspie,26,11,0,0,9.0,2,0,2,0,0,1.000,,,0,0,0,2.00,0.18,,1,0,0,,,0,P,gillalo01
Mychal Givens,33,6,0,0,4.0,2,0,2,0,0,1.000,,,0,0,0,4.50,0.33,,1,1,0,0%,21%,0,P,givenmy01
DL Hall,24,18,0,0,19.1,6,2,4,0,0,1.000,,,0,0,0,2.79,0.33,,1,1,0,0%,21%,0,P,halldl01
Austin Hays,27,141,134,120,1195.1,260,256,4,0,0,1.000,7,7,5,5,1,1.96,1.71,,,,,,,,LF-CF-RF-DH,haysau01
Gunnar Henderson,22,136,132,97,1179.1,418,130,274,14,48,.967,10,10,13,13,-1,3.08,2.27,,,,,,,,3B-SS-DH,hendegu01
Aaron Hicks,33,59,53,37,468.2,109,106,1,2,0,.982,-6,-15,-7,-18,-2,2.05,1.43,,,,,,,,CF-RF-LF-DH,hicksaa01
Cole Irvin,29,24,12,0,77.1,10,2,8,0,1,1.000,,,2,5,0,1.16,0.42,,2,0,1,100%,21%,0,P,irvinco01
Heston Kjerstad,24,4,2,2,21.2,4,4,0,0,0,1.000,0,11,0,0,0,1.66,0.40,,,,,,,,LF-RF-DH,kjershe01
Mark Kolozsvary,27,1,0,0,1.0,1,1,0,0,0,1.000,0,0,0,0,0,9.00,1.00,0,0,0,0,,,0,C,kolozma01
Joey Krehbiel,30,6,0,0,5.0,0,0,0,0,0,,,,0,0,,0.00,0.00,,0,1,0,0%,21%,0,P,krehbjo01
Dean Kremer,27,32,32,0,172.2,27,11,16,0,0,1.000,,,3,3,0,1.41,0.84,,5,9,6,40%,21%,1,P,kremede01
Josh Lester,28,8,4,1,31.2,26,25,1,0,1,1.000,0,4,0,0,0,7.39,2.60,,0,0,0,,,0,1B-3B-P-RF-DH,lestejo02
Jorge López,30,12,0,0,12.0,1,0,1,0,0,1.000,,,1,17,0,0.75,0.08,,0,2,0,0%,21%,0,P,lopezjo02
Jorge Mateo,28,113,97,77,863.0,371,118,242,11,60,.970,4,5,1,1,0,3.75,3.10,,,,,,,,SS-CF-DH,mateojo01
James McCann,33,62,54,47,481.1,497,472,22,3,2,.994,2,5,1,2,-2,9.24,7.16,2,24,29,15,34%,21%,0,C-1B-P-DH,mccanja02
