Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary,Name-additional
Wilyer Abreu,24,25,19,13,168.2,43,40,2,1,1,.977,2,11,2,14,0,2.24,1.50,,,,,,,,CF-LF-RF-DH,abreuwi02
Jorge Alfaro,30,6,4,2,36.0,46,39,5,2,0,.957,0,0,1,33,0,11.00,5.50,0,2,2,1,33%,21%,0,C-DH,alfarjo01
Christian Arroyo,28,66,53,42,472.0,269,113,154,2,48,.993,5,12,1,3,-1,5.09,3.81,,,,,,,,2B-SS-3B,arroych01
Kyle Barraclough,33,3,0,0,7.2,0,0,0,0,0,,,,0,0,0,0.00,0.00,,0,1,0,0%,21%,0,P,barraky01
Brayan Bello,24,28,28,0,157.0,35,20,15,0,2,1.000,,,0,0,0,2.01,1.25,,1,9,3,25%,21%,2,P,bellobr01
Brennan Bernardino,31,55,6,0,50.2,11,4,6,1,1,.909,,,0,0,0,1.78,0.18,,3,2,1,33%,21%,1,P,bernabr01
Richard Bleier,36,27,0,0,30.2,7,2,4,1,1,.857,,,0,0,0,1.76,0.22,,3,1,0,0%,21%,0,P,bleieri01
Ryan Brasier,35,20,0,0,21.0,1,1,0,0,0,1.000,,,0,0,0,0.43,0.05,,2,3,1,25%,21%,0,P,brasiry01
Triston Casas,23,125,115,105,1037.0,958,858,95,5,89,.995,-3,-3,-4,-5,0,8.27,7.45,,,,,,,,1B-DH,casastr01
Yu Chang,27,38,32,22,280.0,123,43,79,1,25,.992,0,1,2,9,0,3.92,2.98,,,,,,,,SS-2B-1B-3B-DH,changyu01
Kutter Crawford,27,31,23,0,129.1,19,13,4,2,0,.895,,,0,0,1,1.18,0.55,,4,8,2,20%,21%,0,P,crawfku01
Bobby Dalbec,28,18,15,11,121.0,98,83,14,1,8,.990,2,21,0,0,0,7.21,4.62,,,,,,,,1B-3B-SS-2B-DH,dalbebo01
Matt Dermody,32,1,1,0,4.0,0,0,0,0,0,,,,0,0,,0.00,0.00,,0,0,0,,,0,P,dermoma01
Rafael Devers,26,151,149,138,1294.0,370,104,247,19,24,.949,-9,-8,-9,-8,0,2.44,2.28,,,,,,,,3B-SS-DH,deverra01
Jarren Duran,26,96,82,64,731.0,171,168,2,1,1,.994,1,1,-6,-10,-1,2.09,1.63,,,,,,,,CF-LF-RF-DH,duranja01
Adam Duvall,34,84,79,60,692.1,156,152,4,0,3,1.000,-3,-6,-4,-7,-1,2.03,1.58,,,,,,,,CF-RF-LF-DH,duvalad01
Jake Faria,29,1,0,0,2.0,0,0,0,0,0,,,,0,0,,0.00,0.00,,0,0,0,,,0,P,fariaja01
Justin Garza,29,17,1,0,18.1,1,1,0,0,0,1.000,,,0,0,0,0.49,0.06,,2,0,0,,,0,P,garzaju01
Caleb Hamilton,28,4,2,0,16.2,17,16,1,0,0,1.000,0,0,0,0,0,9.18,4.25,0,0,4,0,0%,21%,0,C,hamilca01
David Hamilton,25,15,11,10,100.2,56,19,35,2,9,.964,0,4,1,12,-1,4.83,3.60,,,,,,,,SS-2B,hamilda03
Enrique Hernández,31,86,79,61,702.0,298,113,170,15,38,.950,-6,-10,-4,-7,1,3.63,2.86,,,,,,,,SS-2B-CF,hernaen02
Tanner Houck,27,21,21,0,106.0,25,12,13,0,1,1.000,,,2,4,0,2.12,1.19,,1,4,2,33%,21%,0,P,houckta01
Joe Jacques,28,23,1,0,26.2,4,3,1,0,0,1.000,,,1,8,0,1.35,0.17,,1,1,2,67%,21%,0,P,jacqujo01
Kenley Jansen,35,51,0,0,44.2,4,1,3,0,0,1.000,,,-2,-9,0,0.81,0.08,,1,13,4,24%,21%,0,P,janseke01
Zack Kelly,28,8,0,0,9.1,2,1,1,0,1,1.000,,,0,0,0,1.93,0.25,,1,2,0,0%,21%,0,P,kellyza01
Corey Kluber,37,15,9,0,55.0,6,2,3,1,0,.833,,,-1,-4,0,0.82,0.33,,1,3,0,0%,21%,0,P,klubeco01
Dinelson Lamet,30,1,0,0,2.0,0,0,0,0,0,,,,0,0,,0.00,0.00,,1,2,0,0%,21%,0,P,lametdi01
Zack Littell,27,2,0,0,3.0,0,0,0,0,0,,,,0,0,,0.00,0.00,,0,0,0,,,0,P,litteza01
Mauricio Llovera,27,25,0,0,29.2,6,4,1,1,0,.833,,,-3,-20,0,1.52,0.20,,0,8,0,0%,21%,0,P,llovema01
Chris Martin,37,55,0,0,51.1,15,6,8,1,1,.933,,,2,8,0,2.45,0.25,,1,4,0,0%,21%,0,P,martich02
Reese McGuire,28,62,51,39,433.1,467,451,15,1,1,.998,0,0,-3,-8,-1,9.68,7.40,1,16,34,7,17%,21%,1,C-DH,mcguire01
Chris Murphy,25,20,0,0,47.2,5,2,3,0,0,1.000,,,0,0,0,0.94,0.25,,4,3,1,25%,21%,0,P,murphch01
Kaleb Ort,31,21,2,0,23.0,5,2,3,0,0,1.000,,,0,0,0,1.96,0.24,,2,4,0,0%,21%,1,P,ortka01
James Paxton,34,19,19,0,96.0,6,2,4,0,0,1.000,,,-1,-2,0,0.56,0.32,,5,4,0,0%,21%,0,P,paxtoja01
Nick Pivetta,30,38,16,0,142.2,15,9,6,0,0,1.000,,,-2,-3,0,0.95,0.39,,5,12,2,14%,21%,1,P,pivetni01
Ceddanne Rafaela,22,27,17,15,173.0,40,30,9,1,3,.975,-5,-31,-1,-7,-1,2.03,1.30,,,,,,,,CF-SS-2B-DH,rafaece01
Rob Refsnyder,32,71,47,31,435.0,86,81,5,0,0,1.000,-2,-5,0,0,2,1.78,1.02,,,,,,,,LF-CF-RF-DH,refsnro01
Pablo Reyes,29,60,46,34,421.0,179,68,104,7,17,.961,-3,-9,-3,-9,-1,3.68,2.42,,1,0,0,,,0,SS-2B-3B-P-1B-DH,reyespa01
Nick Robertson,24,9,1,0,12.0,4,2,2,0,0,1.000,,,0,0,0,3.00,0.44,,0,2,0,0%,21%,0,P,roberni01
Joely Rodríguez,31,11,0,0,11.0,1,1,0,0,0,1.000,,,0,0,0,0.82,0.09,,0,1,0,0%,21%,0,P,rodrijo06
Chris Sale,34,20,20,0,102.2,11,6,4,1,1,.909,,,-2,-4,0,0.88,0.50,,3,8,1,11%,21%,0,P,salech01
John Schreiber,29,46,2,0,46.2,11,4,6,1,2,.909,,,1,4,0,1.93,0.22,,1,0,0,,,0,P,schrejo01
Tayler Scott,31,4,1,0,3.2,1,0,1,0,0,1.000,,,0,0,0,2.45,0.25,,1,1,0,0%,21%,0,P,scottta02
Ryan Sherriff,33,5,0,0,6.2,3,1,2,0,0,1.000,,,0,0,0,4.05,0.60,,0,2,0,0%,21%,0,P,sherrry01
Trevor Story,30,37,35,35,314.0,141,39,100,2,16,.986,7,26,8,31,0,3.98,3.23,,,,,,,,SS-DH-2B,storytr01
Raimel Tapia,29,26,18,15,176.0,38,37,1,0,0,1.000,-2,-12,-1,-7,0,1.94,1.27,,,,,,,,LF-RF-CF-DH,tapiara01
Justin Turner,38,50,46,32,395.1,304,248,50,6,34,.980,-2,-5,0,0,1,6.78,1.91,,,,,,,,1B-3B-2B-DH,turneju01
Luis Urías,26,32,28,22,252.2,110,46,62,2,16,.982,-3,-14,-2,-9,-1,3.85,3.00,,,,,,,,2B-3B,uriaslu01
Enmanuel Valdez,24,47,44,27,358.0,172,54,111,7,21,.959,1,3,-6,-20,0,4.15,3.37,,,,,,,,2B-SS-DH,valdeen01
Alex Verdugo,27,140,135,122,1170.0,308,293,12,3,4,.990,9,9,9,9,0,2.35,2.18,,,,,,,,RF,verdual01
Brandon Walter,26,9,0,0,23.0,1,1,0,0,0,1.000,,,0,0,0,0.39,0.11,,1,1,1,50%,21%,0,P,waltebr01
Zack Weiss,31,6,0,0,8.2,1,0,1,0,0,1.000,,,0,0,0,1.04,0.17,,0,0,0,,,0,P,weissza01
Garrett Whitlock,27,22,10,0,71.2,12,7,5,0,1,1.000,,,1,3,0,1.51,0.55,,2,7,5,42%,21%,0,P,whitlga01
Josh Winckowski,25,60,1,0,84.1,15,9,5,1,1,.933,,,1,2,0,1.49,0.23,,2,2,1,33%,21%,0,P,winckjo01
Connor Wong,27,123,105,90,949.0,1011,954,46,11,7,.989,-2,-3,3,4,1,9.48,7.94,7,31,68,18,21%,21%,0,C-2B-DH,wongco01
Masataka Yoshida,29,87,84,69,713.1,133,125,5,3,1,.977,-3,-6,-4,-7,1,1.64,0.96,,,,,,,,LF-DH,yoshima02
Infield Shifts,,,,,,,,,,,,,,10,,,,,,,,,,,,,-9999
Non-Shift Infield Positioning,,,,,,,,,,,,,,-1,,,,,,,,,,,,,-9999
Outfield Positioning,,,,,,,,,,,,,,-6,,,,,,,,,,,,,-9999
Team Totals,28.7,162,1458,1059,12870.0,5821,4290,1429,102,137,.982,-17,-2,-20,,,4.00,2.60,8,98,108,26,19%,21%,6,,-9999
Rank in 15 AL teams,,,,,,,,,14,,14,,,,,,,,,,,,,,,,-9999
