Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary,Name-additional
Adbert Alzolay,28,58,0,0,64.0,13,6,7,0,1,1.000,,,0,0,0,1.83,0.22,,0,6,3,33%,19%,1,P,alzolad01
Miguel Amaya,24,41,33,26,295.0,300,282,14,4,3,.987,-4,-17,-1,-4,0,9.03,5.92,2,12,31,3,9%,19%,0,C-DH,amayami01
Javier Assad,25,32,10,0,109.1,23,8,14,1,1,.957,,,0,0,0,1.81,0.69,,3,8,3,27%,19%,2,P,assadja01
Tucker Barnhart,32,46,37,25,316.2,309,301,6,2,2,.994,-1,-5,0,0,0,8.73,6.67,0,14,30,7,19%,19%,0,C-P,barnhtu01
Cody Bellinger,27,127,125,101,1107.2,630,597,28,5,30,.992,5,6,2,2,1,5.08,4.28,,,,,,,,CF-1B-DH,bellico01
Brad Boxberger,35,22,0,0,20.0,7,4,3,0,1,1.000,,,0,0,0,3.15,0.32,,0,4,0,0%,19%,0,P,boxbebr01
Nick Burdi,30,3,0,0,3.0,0,0,0,0,0,,,,0,0,,0.00,0.00,,1,0,0,,,0,P,burdini01
Alexander Canario,23,3,2,1,15.0,3,3,0,0,0,1.000,0,-25,-1,-80,0,1.80,0.43,,,,,,,,RF-CF-LF-DH,canaral01
Jeimer Candelario,29,35,35,27,305.1,185,141,41,3,15,.984,-6,-24,-3,-12,1,5.36,3.96,,,,,,,,3B-1B-DH,candeje01
Pete Crow-Armstrong,21,13,3,2,52.1,12,12,0,0,0,1.000,2,54,1,23,0,2.06,0.92,,,,,,,,CF,crowape01
José Cuas,29,27,1,0,23.2,5,3,2,0,0,1.000,,,0,0,0,1.90,0.19,,3,1,2,67%,19%,0,P,cuasjo01
Tyler Duffey,32,1,0,0,2.0,0,0,0,0,0,,,,0,0,,0.00,0.00,,0,0,0,,,0,P,duffety01
Jeremiah Estrada,24,12,0,0,10.2,1,1,0,0,0,1.000,,,0,0,0,0.84,0.08,,0,1,0,0%,19%,0,P,estraje01
