Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary,Name-additional
Hanser Alberto,30,30,20,14,194.0,85,39,42,4,9,.953,0,-1,1,6,0,3.76,2.38,,0,0,0,,,0,3B-2B-1B-P,alberha01
Tim Anderson,30,121,119,108,1020.2,416,160,241,15,58,.964,-12,-15,-16,-19,-3,3.54,3.31,,,,,,,,SS-2B,anderti01
Elvis Andrus,34,110,106,90,930.2,399,158,229,12,48,.970,-7,-9,-3,-4,-2,3.74,3.25,,,,,,,,2B-SS-3B-DH,andruel01
Tanner Banks,31,32,3,0,61.0,9,6,3,0,0,1.000,,,0,0,0,1.33,0.28,,1,8,1,11%,21%,0,P,banksta01
Andrew Benintendi,28,147,142,139,1251.2,281,271,6,4,1,.986,11,10,-3,-3,1,1.99,1.86,,,,,,,,LF-DH,beninan01
Aaron Bummer,29,61,0,0,58.1,15,7,7,1,0,.933,,,-3,-10,0,2.16,0.23,,6,17,1,6%,21%,0,P,bummeaa01
Jake Burger,27,62,57,49,504.0,149,62,84,3,16,.980,-4,-10,-2,-5,0,2.61,1.66,,,,,,,,3B-2B-1B-DH,burgeja01
Dylan Cease,27,33,33,0,177.0,22,5,16,1,0,.955,,,3,3,0,1.07,0.64,,14,13,2,13%,21%,2,P,ceasedy01
Mike Clevinger,32,24,24,2,131.1,16,7,8,1,0,.938,,,-3,-5,0,1.03,0.63,,6,27,1,4%,21%,3,P,clevimi01
Oscar Colás,24,72,65,56,589.1,168,157,5,6,2,.964,-9,-18,-5,-10,-2,2.47,2.05,,,,,,,,RF-CF-DH,colasos01
Alex Colomé,34,4,0,0,3.0,1,0,1,0,0,1.000,,,0,0,0,3.00,0.25,,0,0,0,,,0,P,colomal01
Garrett Crochet,24,13,0,0,12.2,2,1,0,1,0,.500,,,0,0,0,0.71,0.08,,1,2,0,0%,21%,0,P,crochga01
Declan Cronin,25,9,0,0,11.0,6,3,2,1,1,.833,,,0,0,0,4.09,0.56,,0,1,1,50%,21%,0,P,cronide01
Jake Diekman,36,13,0,0,11.1,1,0,1,0,0,1.000,,,0,0,0,0.79,0.08,,2,1,0,0%,21%,0,P,diekmja01
Clint Frazier,28,31,17,9,171.0,28,25,2,1,0,.964,-2,-17,0,0,0,1.42,0.77,,,,,,,,RF-LF-CF,frazicl01
Deivi García,24,6,0,0,9.1,1,1,0,0,0,1.000,,,0,0,0,0.96,0.17,,0,0,0,,,0,P,garcide01
Lucas Giolito,28,21,21,0,121.0,4,1,3,0,1,1.000,,,-1,-2,0,0.30,0.19,,2,6,5,45%,21%,1,P,giolilu01
Romy Gonzalez,26,36,28,20,251.2,83,32,50,1,8,.988,0,0,-3,-14,-1,2.93,1.78,,,,,,,,2B-RF-LF-SS-CF-3B-DH,gonzaro01
Yasmani Grandal,34,95,82,62,713.2,783,748,31,4,6,.995,-8,-13,-11,-18,-1,9.82,6.83,4,31,98,17,15%,21%,0,C-1B-DH,grandya01
Kendall Graveman,32,45,0,0,44.0,4,2,2,0,0,1.000,,,0,0,0,0.82,0.09,,2,3,0,0%,21%,0,P,graveke01
Billy Hamilton,32,1,0,0,4.0,0,0,0,0,0,,0,0,0,0,,0.00,0.00,,,,,,,,RF,hamilbi02
Adam Haseley,27,23,7,5,90.2,26,26,0,0,0,1.000,1,15,0,0,0,2.58,1.00,,,,,,,,RF-CF-LF-DH,haselad01
Liam Hendriks,34,5,0,0,5.0,1,1,0,0,0,1.000,,,0,0,0,1.80,0.20,,0,1,0,0%,21%,0,P,hendrli01
Brent Honeywell Jr.,28,4,0,0,5.2,1,1,0,0,0,1.000,,,-1,-35,-1,1.59,0.25,,0,1,0,0%,21%,0,P,honeybr01
