Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary,Name-additional
Andrew Abbott,24,21,21,0,109.1,10,1,9,0,1,1.000,,,1,2,0,0.82,0.48,,1,7,4,36%,19%,2,P,abbotan01
Tejay Antone,29,5,1,0,5.2,1,1,0,0,0,1.000,,,0,0,0,1.59,0.20,,0,0,0,,,0,P,antonte01
Graham Ashcraft,25,26,26,0,145.2,33,20,12,1,3,.970,,,-2,-3,0,1.98,1.23,,3,10,4,29%,19%,0,P,ashcrgr01
Harrison Bader,29,12,9,4,79.0,29,29,0,0,0,1.000,1,9,-1,-15,0,3.30,2.07,,,,,,,,CF-DH,baderha01
Will Benson,25,97,83,54,742.0,203,197,6,0,1,1.000,-1,-2,-3,-5,-1,2.46,1.86,,,,,,,,RF-LF-CF-DH,bensowi01
Silvino Bracho,30,5,0,0,7.1,0,0,0,0,0,,,,0,0,,0.00,0.00,,0,1,0,0%,19%,0,P,brachsi01
Alan Busenitz,32,6,0,0,7.0,2,2,0,0,0,1.000,,,0,0,0,2.57,0.33,,0,1,0,0%,19%,0,P,busenal01
Curt Casali,34,40,27,16,241.0,252,239,11,2,1,.992,2,9,3,15,1,9.34,6.10,1,6,13,6,32%,19%,0,C-1B-3B,casalcu01
Luis Cessa,31,7,6,0,26.0,2,1,1,0,0,1.000,,,0,0,0,0.69,0.29,,2,0,0,,,0,P,cessalu01
Fernando Cruz,33,58,2,0,66.0,10,6,3,1,0,.900,,,-1,-3,0,1.23,0.16,,5,6,0,0%,19%,0,P,cruzfe01
Elly De La Cruz,21,98,95,91,850.0,350,135,201,14,35,.960,-2,-3,-6,-8,-1,3.56,3.29,,,,,,,,SS-3B-DH,delacel01
Alexis Díaz,26,71,0,0,67.1,13,5,6,2,1,.846,,,-1,-3,0,1.47,0.15,,3,12,3,20%,19%,0,P,diazal03
Daniel Duarte,26,31,0,0,31.2,6,3,3,0,0,1.000,,,1,6,0,1.71,0.19,,1,2,2,50%,19%,1,P,duartda01
Christian Encarnacion-Strand,23,39,36,23,311.0,234,208,24,2,25,.991,0,1,0,0,0,6.71,3.36,,,,,,,,1B-3B-RF-DH,encarch01
Stuart Fairchild,27,94,65,38,566.0,159,152,5,2,1,.987,5,11,1,2,-1,2.50,1.50,,,,,,,,LF-CF-RF-DH,faircst01
Buck Farmer,32,71,0,0,75.0,10,3,7,0,1,1.000,,,-2,-5,0,1.20,0.14,,1,12,1,8%,19%,0,P,farmebu01
Jake Fraley,28,81,63,50,586.1,141,137,3,1,0,.993,-1,-2,-4,-8,-2,2.15,1.31,,,,,,,,RF-LF-DH,fraleja01
TJ Friedl,27,137,122,97,1090.1,315,305,9,1,2,.997,5,6,1,1,2,2.59,2.07,,,,,,,,CF-LF-RF-DH,friedtj01
Jose Barrero,25,44,40,29,333.0,124,72,49,3,16,.976,-3,-9,-5,-18,-1,3.27,2.63,,,,,,,,SS-CF-DH,garcijo02
Ian Gibaut,29,74,0,0,75.2,6,2,2,2,0,.667,,,-2,-5,0,0.48,0.05,,0,10,6,38%,19%,0,P,gibauia01
Hunter Greene,23,22,22,0,112.0,12,4,8,0,0,1.000,,,0,0,0,0.96,0.55,,5,16,4,20%,19%,0,P,greenhu01
Kevin Herget,32,14,0,0,24.1,2,1,1,0,0,1.000,,,-1,-8,0,0.74,0.14,,1,0,0,,,0,P,hergeke01
TJ Hopkins,26,15,8,6,87.0,25,22,0,3,0,.880,-3,-37,2,28,0,2.28,0.96,,,,,,,,RF-LF-DH,hopkitj01
Jonathan India,26,104,103,90,893.1,390,162,219,9,62,.977,-5,-7,-7,-9,0,3.84,3.20,,,,,,,,2B-DH,indiajo01
Ricky Karcher,25,1,0,0,1.0,0,0,0,0,0,,,,0,0,,0.00,0.00,,0,2,0,0%,19%,0,P,karchri01
Brett Kennedy,28,5,2,0,18.0,4,3,1,0,0,1.000,,,-1,-11,0,2.00,0.80,,0,4,0,0%,19%,0,P,kennebr02
Joel Kuhnel,28,2,0,0,3.1,0,0,0,0,0,,,,-1,-60,0,0.00,0.00,,0,1,0,0%,19%,0,P,kuhnejo01
Derek Law,32,54,3,0,55.0,6,1,5,0,0,1.000,,,1,4,0,0.98,0.11,,5,5,1,17%,19%,0,P,lawde01
Casey Legumina,26,11,0,0,12.2,3,1,2,0,0,1.000,,,0,0,0,2.13,0.27,,1,0,0,,,0,P,legumca01
Ben Lively,31,19,12,0,88.2,16,8,7,1,0,.938,,,-1,-2,0,1.52,0.79,,1,7,0,0%,19%,0,P,livelbe01
Nick Lodolo,25,7,7,0,34.1,8,3,4,1,1,.875,,,0,0,0,1.83,1.00,,2,1,2,67%,19%,1,P,lodolni01
Alejo López,27,1,1,0,4.0,4,1,3,0,1,1.000,1,150,1,300,0,9.00,4.00,,,,,,,,2B,lopezal03
Luke Maile,32,75,57,37,504.2,567,535,27,5,0,.991,1,2,1,2,0,10.02,7.39,4,15,56,17,23%,19%,3,C-P-DH,mailelu01
Michael Mariot,34,1,0,0,2.2,2,1,1,0,0,1.000,,,0,0,0,6.75,2.00,,0,0,0,,,0,P,mariomi01
Noelvi Marte,21,34,30,28,259.0,74,19,50,5,11,.932,-3,-14,0,0,0,2.40,1.92,,,,,,,,3B-SS-2B-DH,marteno01
Nick Martini,33,18,9,5,88.0,23,22,1,0,0,1.000,-2,-23,-2,-27,0,2.35,0.74,,,,,,,,LF-RF-1B-DH,martini02
Matt McLain,23,86,85,80,761.0,305,100,200,5,40,.984,11,17,4,6,1,3.55,3.19,,,,,,,,SS-2B-DH,mclaima01
Alec Mills,31,1,0,0,1.0,0,0,0,0,0,,,,0,0,,0.00,0.00,,1,0,0,,,0,P,millsal02
Sam Moll,31,25,0,0,24.2,4,1,3,0,0,1.000,,,-1,-8,0,1.46,0.16,,0,6,0,0%,19%,0,P,mollsa01
Wil Myers,32,32,31,22,268.1,106,97,8,1,9,.991,2,8,2,9,1,3.52,2.39,,,,,,,,RF-1B-DH,myerswi01
Kevin Newman,29,63,52,41,463.1,200,98,98,4,21,.980,-5,-12,-8,-21,-1,3.81,2.61,,,,,,,,3B-SS-2B-1B-DH,newmake01
Connor Overton,29,3,3,0,11.0,3,2,1,0,0,1.000,,,0,0,0,2.45,1.00,,0,1,1,50%,19%,0,P,overtco01
Connor Phillips,22,5,5,0,20.2,1,1,0,0,0,1.000,,,-2,-19,0,0.44,0.20,,2,2,0,0%,19%,0,P,phillco01
Henry Ramos,31,13,12,8,100.0,26,25,1,0,0,1.000,1,14,3,36,0,2.34,1.18,,,,,,,,RF-LF-DH,ramoshe01
Hunter Renfroe,31,6,5,5,45.0,11,11,0,0,0,1.000,-2,-40,-2,-53,-1,2.20,0.79,,,,,,,,RF-DH,renfrhu01
Matt Reynolds,32,2,1,0,11.0,3,1,1,1,0,.667,0,0,-1,-109,0,1.64,0.67,,,,,,,,3B-1B,reynoma03
Lyon Richardson,23,4,4,0,16.2,1,1,0,0,1,1.000,,,-1,-12,0,0.54,0.25,,0,1,0,0%,19%,0,P,richaly01
Eduardo Salazar,25,8,0,0,12.1,5,1,4,0,0,1.000,,,2,32,0,3.65,0.63,,1,0,0,,,1,P,salazed01
Reiver Sanmartin,27,14,0,0,14.0,1,1,0,0,0,1.000,,,-1,-14,0,0.64,0.07,,2,0,0,,,0,P,sanmare01
Tony Santillan,26,3,0,0,3.1,0,0,0,0,0,,,,0,0,,0.00,0.00,,0,0,0,,,0,P,santito01
Nick Senzel,28,99,76,43,679.0,182,90,87,5,10,.973,-6,-11,-11,-19,0,2.35,1.40,,,,,,,,3B-LF-CF-RF-2B-DH,senzeni01
Chasen Shreve,32,3,0,0,3.1,0,0,0,0,0,,,,0,0,,0.00,0.00,,0,0,0,,,0,P,shrevch01
Michael Siani,23,2,0,0,4.0,2,2,0,0,0,1.000,0,-30,0,0,0,4.50,1.00,,,,,,,,CF-LF,sianimi01
Lucas Sims,29,67,0,0,61.0,10,4,5,1,0,.900,,,0,0,0,1.33,0.13,,3,5,2,29%,19%,1,P,simslu01
Carson Spiers,25,4,2,0,13.0,1,0,0,1,0,.000,,,0,0,0,0.00,0.00,,0,1,0,0%,19%,0,P,spierca01
Spencer Steer,25,149,146,110,1297.1,641,507,124,10,49,.984,-11,-10,-5,-5,3,4.38,3.32,,,,,,,,1B-3B-LF-2B-RF-DH,steersp01
Tyler Stephenson,26,98,82,72,742.0,698,673,21,4,4,.994,-1,-2,-10,-16,0,8.42,4.85,3,27,54,14,21%,19%,0,C-1B-DH,stephty01
Levi Stoudt,25,4,2,0,10.1,1,0,1,0,0,1.000,,,0,0,0,0.87,0.25,,0,3,0,0%,19%,0,P,stoudle01
Jason Vosler,29,20,15,8,141.1,107,93,14,0,9,1.000,1,5,0,0,0,6.81,4.46,,0,0,0,,,0,1B-3B-P,vosleja01
Joey Votto,39,47,44,32,374.0,315,296,18,1,34,.997,-1,-3,-5,-16,-1,7.56,4.91,,,,,,,,1B-DH,vottojo01
Luke Weaver,29,21,21,0,97.0,7,4,3,0,0,1.000,,,-2,-4,0,0.65,0.33,,3,2,2,50%,19%,0,P,weavelu01
Brandon Williamson,25,23,23,0,117.0,16,6,8,2,1,.875,,,2,3,0,1.08,0.61,,4,1,3,75%,19%,2,P,willibr02
Jake Wong,26,1,0,0,3.0,0,0,0,0,0,,,,0,0,,0.00,0.00,,0,0,1,100%,19%,0,P,wongja01
Randy Wynne,30,1,0,0,2.1,0,0,0,0,0,,,,0,0,,0.00,0.00,,1,0,0,,,0,P,wynnera01
Alex Young,29,63,0,0,53.2,10,3,6,1,1,.900,,,0,0,0,1.51,0.14,,0,4,1,20%,19%,1,P,youngal01
Infield Shifts,,,,,,,,,,,,,,12,,,,,,,,,,,,,-9999
Non-Shift Infield Positioning,,,,,,,,,,,,,,4,,,,,,,,,,,,,-9999
Outfield Positioning,,,,,,,,,,,,,,10,,,,,,,,,,,,,-9999
Team Totals,27.5,162,1458,989,12954.0,5692,4318,1283,91,125,.984,-13,-1,-38,,,3.89,2.38,8,96,123,37,23%,19%,12,,-9999
Rank in 15 NL teams,,,,,,,,,10,,10,,,,,,,,,,,,,,,,-9999
