Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary,Name-additional
Logan Allen,24,24,24,0,125.1,8,3,5,0,0,1.000,,,1,2,0,0.57,0.33,,1,0,5,100%,21%,1,P,allenlo02
Gabriel Arias,23,114,88,70,800.1,368,228,134,6,39,.984,2,3,0,0,1,4.07,2.92,,,,,,,,SS-1B-RF-3B-2B-DH,ariasga01
Peyton Battenfield,25,7,6,0,34.2,10,8,2,0,0,1.000,,,1,6,0,2.60,1.43,,1,2,0,0%,21%,0,P,battepe01
Josh Bell,30,30,29,15,239.0,208,185,21,2,15,.990,-1,-4,-1,-5,0,7.76,2.15,,,,,,,,1B-DH,belljo02
Tanner Bibee,24,25,25,0,142.0,20,5,14,1,1,.950,,,1,1,0,1.20,0.76,,7,9,1,10%,21%,3,P,bibeeta01
Shane Bieber,28,21,21,1,128.0,28,12,15,1,1,.964,,,-2,-3,0,1.90,1.29,,8,11,5,31%,21%,2,P,biebesh01
Will Brennan,25,121,106,89,954.2,254,242,9,3,3,.988,7,9,0,0,0,2.37,1.90,,,,,,,,RF-CF-LF-DH,brennwi02
Kole Calhoun,35,28,27,22,235.0,182,171,11,0,19,1.000,1,3,1,5,0,6.97,4.33,,,,,,,,1B-RF-DH,calhoko01
Aaron Civale,28,13,13,0,77.0,10,6,4,0,1,1.000,,,0,0,0,1.17,0.77,,4,5,2,29%,21%,0,P,civalaa01
Emmanuel Clase,25,75,0,0,72.2,18,1,16,1,0,.944,,,-1,-3,0,2.11,0.23,,5,10,0,0%,21%,0,P,claseem01
Zack Collins,28,2,2,1,16.0,16,14,2,0,0,1.000,0,0,0,0,0,9.00,8.00,0,0,2,0,0%,21%,0,C,colliza01
Xzavion Curry,24,41,9,0,95.0,11,2,9,0,1,1.000,,,1,2,0,1.04,0.27,,3,10,1,9%,21%,1,P,curryxz01
Enyel De Los Santos,27,70,0,0,65.2,9,2,7,0,0,1.000,,,2,6,0,1.23,0.13,,2,5,1,17%,21%,4,P,delosen01
Tyler Freeman,24,53,39,31,359.0,132,45,83,4,12,.970,-4,-14,-6,-20,0,3.21,1.97,,,,,,,,3B-2B-SS-1B-LF-DH,freemty01
David Fry,27,55,25,13,262.2,190,178,9,3,10,.984,-2,-11,-4,-18,-1,6.41,3.07,2,5,11,3,21%,21%,0,C-1B-RF-LF-3B-P-DH,fryda01
Hunter Gaddis,25,11,7,0,42.0,7,2,5,0,0,1.000,,,0,0,0,1.50,0.64,,1,3,1,25%,21%,0,P,gaddihu01
Cam Gallagher,30,56,53,27,420.1,440,418,19,3,1,.993,0,0,7,20,2,9.36,7.80,2,13,45,12,21%,21%,0,C,gallaca01
Andrés Giménez,24,150,146,142,1308.0,666,259,401,6,87,.991,13,12,23,21,3,4.54,4.40,,,,,,,,2B,gimenan01
Lucas Giolito,28,6,6,0,30.2,1,0,1,0,0,1.000,,,0,0,0,0.29,0.17,,3,2,1,33%,21%,0,P,giolilu01
Oscar González,25,32,29,23,246.1,57,57,0,0,0,1.000,-6,-31,-7,-34,0,2.08,1.12,,,,,,,,RF-LF-DH,gonzaos01
Eric Haase,30,3,3,1,26.0,24,24,0,0,0,1.000,0,0,0,0,0,8.31,8.00,0,3,0,0,,,0,C,haaseer01
Sam Hentges,26,56,0,0,52.1,5,3,2,0,0,1.000,,,-2,-8,0,0.86,0.09,,3,6,0,0%,21%,0,P,hentgsa01
Tim Herrin,26,23,0,0,27.2,4,0,3,1,0,.750,,,-1,-7,0,0.98,0.13,,2,3,0,0%,21%,0,P,herriti01
James Karinchak,27,44,0,0,39.0,2,1,0,1,0,.500,,,-2,-10,0,0.23,0.02,,1,16,2,11%,21%,0,P,karinja01
Michael Kelly,30,14,0,0,16.2,2,0,2,0,0,1.000,,,1,12,0,1.08,0.14,,3,3,1,25%,21%,0,P,kellymi03
Steven Kwan,25,153,151,151,1352.0,358,344,10,4,2,.989,4,4,16,14,3,2.36,2.27,,,,,,,,LF-DH,kwanst01
Ramón Laureano,28,39,36,30,325.0,81,76,3,2,1,.975,4,14,0,0,-1,2.19,1.76,,,,,,,,RF-CF-DH,laurera01
Reynaldo López,29,12,0,0,11.0,2,0,2,0,0,1.000,,,0,0,0,1.64,0.17,,1,1,1,50%,21%,0,P,lopezre01
Triston McKenzie,25,4,4,0,16.0,0,0,0,0,0,,,,-1,-13,,0.00,0.00,,1,6,0,0%,21%,0,P,mckentr01
Matt Moore,34,5,0,0,4.2,1,1,0,0,0,1.000,,,-1,-43,0,1.93,0.20,,0,1,0,0%,21%,0,P,moorema02
Eli Morgan,27,61,0,0,67.1,14,5,8,1,0,.929,,,0,0,1,1.74,0.21,,2,11,2,15%,21%,0,P,morgael01
Cody Morris,26,6,0,0,8.0,0,0,0,0,0,,,,0,0,,0.00,0.00,,0,1,1,50%,21%,0,P,morrico01
Bo Naylor,23,67,55,52,505.2,512,486,22,4,2,.992,-1,-2,-2,-5,0,9.04,7.58,5,18,58,8,12%,21%,1,C,naylobo01
Josh Naylor,26,92,87,73,761.2,735,681,50,4,59,.995,2,3,0,0,-2,8.64,6.14,,,,,,,,1B-RF-DH,naylojo01
Daniel Norris,30,7,0,0,12.2,3,1,2,0,0,1.000,,,0,0,0,2.13,0.43,,0,1,0,0%,21%,0,P,norrida01
Konnor Pilkington,25,1,0,0,2.0,1,0,1,0,0,1.000,,,0,0,0,4.50,1.00,,0,1,0,0%,21%,0,P,pilkiko01
Zach Plesac,28,5,5,0,21.1,9,1,8,0,0,1.000,,,1,9,0,3.80,1.80,,0,1,0,0%,21%,1,P,plesaza01
Cal Quantrill,28,19,19,0,99.2,21,11,9,1,1,.952,,,1,2,0,1.81,1.05,,6,10,1,9%,21%,0,P,quantca01
José Ramírez,30,125,125,118,1105.0,318,84,220,14,15,.956,1,1,1,1,0,2.48,1.95,,,,,,,,3B-DH,ramirjo01
Brayan Rocchio,22,23,21,20,185.2,73,26,43,4,9,.945,-5,-29,0,0,1,3.34,2.88,,,,,,,,SS-3B,rocchbr01
Amed Rosario,27,88,88,80,774.2,303,87,205,11,33,.964,-12,-18,-16,-25,0,3.39,3.24,,,,,,,,SS-DH,rosaram01
Nick Sandlin,26,61,0,0,60.0,12,5,7,0,0,1.000,,,1,3,0,1.80,0.20,,0,7,3,30%,21%,0,P,sandlni01
Trevor Stephan,27,71,0,0,68.2,4,0,3,1,0,.750,,,-3,-9,0,0.39,0.04,,3,13,1,7%,21%,0,P,stephtr01
Myles Straw,28,145,137,135,1234.2,343,337,6,0,2,1.000,2,2,6,6,1,2.50,2.37,,,,,,,,CF,strawmy01
Noah Syndergaard,30,6,6,0,33.1,3,1,2,0,0,1.000,,,-2,-12,0,0.81,0.50,,0,14,0,0%,21%,0,P,syndeno01
José Tena,22,16,8,5,84.0,29,13,14,2,3,.931,-5,-64,-3,-43,0,2.89,1.59,,,,,,,,SS-3B-2B-DH,tenajo01
Touki Toussaint,27,1,1,0,3.2,0,0,0,0,0,,,,0,0,,0.00,0.00,,1,1,0,0%,21%,0,P,toussto01
Meibrys Viloria,26,10,0,0,21.2,22,21,1,0,0,1.000,-1,-55,-1,-55,-1,9.14,2.20,1,3,3,0,0%,21%,0,C,vilorme01
Gavin Williams,23,16,16,0,82.0,21,10,11,0,2,1.000,,,2,5,0,2.30,1.31,,3,6,2,25%,21%,1,P,williga01
Mike Zunino,32,42,41,28,339.2,296,276,17,3,2,.990,-4,-14,-5,-18,-2,7.76,6.98,5,19,40,8,17%,21%,0,C,zuninmi01
Infield Shifts,,,,,,,,,,,,,,3,,,,,,,,,,,,,-9999
Non-Shift Infield Positioning,,,,,,,,,,,,,,3,,,,,,,,,,,,,-9999
Outfield Positioning,,,,,,,,,,,,,,12,,,,,,,,,,,,,-9999
Team Totals,26.3,162,1458,1127,12996.0,5833,4332,1418,83,119,.986,-5,0,24,,,3.98,2.66,15,122,159,31,16%,21%,14,,-9999
Rank in 15 AL teams,,,,,,,,,9,,7,,,,,,,,,,,,,,,,-9999
