Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary,Name-additional
Fernando Abad,37,6,0,0,6.1,1,0,0,1,0,.000,,,0,0,0,0.00,0.00,,0,1,0,0%,19%,0,P,abadfe01
Jorge Alfaro,30,2,1,1,13.0,7,7,0,0,0,1.000,-1,-92,-1,-92,-1,4.85,0.78,0,3,1,0,0%,19%,0,C-DH,alfarjo01
Chase Anderson,35,17,17,0,81.1,12,3,8,1,2,.917,,,2,5,0,1.22,0.65,,1,3,4,57%,19%,0,P,anderch01
Daniel Bard,38,50,0,0,49.1,5,3,1,1,0,.800,,,1,4,0,0.73,0.08,,2,2,3,60%,19%,0,P,bardda01
Jake Bird,27,70,3,0,89.1,11,7,4,0,1,1.000,,,-1,-2,0,1.11,0.16,,2,5,1,17%,19%,0,P,birdja01
Ty Blach,32,20,13,0,78.0,13,5,8,0,2,1.000,,,2,5,0,1.50,0.65,,1,2,1,33%,19%,0,P,blachty01
Charlie Blackmon,36,30,28,24,238.0,58,56,1,1,0,.983,2,10,2,10,0,2.16,0.63,,,,,,,,RF-DH,blackch02
Sean Bouchard,27,16,10,9,93.0,31,30,0,1,0,.968,2,27,1,13,-1,2.90,1.76,,,,,,,,RF-LF-DH,bouchse01
Justin Bruihl,26,7,0,0,3.2,1,0,1,0,0,1.000,,,0,0,0,2.45,0.14,,0,2,0,0%,19%,0,P,bruihju01
Kris Bryant,31,54,54,47,458.0,141,132,6,3,6,.979,-9,-22,-8,-21,0,2.71,1.75,,,,,,,,RF-1B-LF-DH,bryankr01
Blair Calvo,27,1,0,0,1.0,0,0,0,0,0,,,,0,0,,0.00,0.00,,0,0,0,,,0,P,calvobl01
Matt Carasiti,31,16,0,0,24.1,4,2,2,0,0,1.000,,,0,0,0,1.48,0.25,,1,1,0,0%,19%,0,P,carasma01
Harold Castro,29,89,68,50,599.0,287,131,153,3,50,.990,1,2,-5,-10,1,4.27,2.90,,0,0,0,,,0,2B-CF-LF-RF-3B-SS-P-DH,castrha01
C.J. Cron,33,47,47,43,399.0,401,372,26,3,42,.993,-2,-5,1,3,-1,8.98,7.24,,,,,,,,1B-DH,croncj01
Noah Davis,26,8,6,0,30.0,4,2,2,0,0,1.000,,,1,7,0,1.20,0.50,,4,3,2,40%,19%,1,P,davisno01
Yonathan Daza,29,23,20,18,171.0,49,49,0,0,0,1.000,-4,-28,-3,-21,0,2.58,1.96,,,,,,,,CF-RF,dazayo01
Elias Díaz,32,126,116,106,1004.2,865,807,48,10,9,.988,4,5,-16,-19,-1,7.66,6.38,6,35,73,22,23%,19%,3,C-DH,diazel01
Brenton Doyle,25,125,118,105,1023.2,384,373,10,1,3,.997,21,24,19,22,-1,3.37,3.06,,,,,,,,CF,doylebr02
Tommy Doyle,27,15,0,0,23.2,2,2,0,0,0,1.000,,,0,0,0,0.76,0.13,,3,1,1,50%,19%,0,P,doyleto01
Ryan Feltner,26,10,10,0,43.1,4,3,1,0,0,1.000,,,-2,-9,0,0.83,0.40,,0,4,0,0%,19%,0,P,feltnry01
Chris Flexen,28,12,12,0,60.1,8,3,5,0,1,1.000,,,-2,-7,0,1.19,0.67,,4,6,0,0%,19%,0,P,flexech01
Kyle Freeland,30,29,29,0,155.2,17,5,12,0,2,1.000,,,-3,-4,0,0.98,0.59,,2,13,7,35%,19%,1,P,freelky01
Austin Gomber,29,27,27,0,139.0,16,2,14,0,0,1.000,,,0,0,0,1.04,0.59,,5,8,1,11%,19%,0,P,gombeau01
Hunter Goodman,23,18,16,13,139.2,73,72,1,0,5,1.000,-5,-40,-2,-17,0,4.70,3.48,,,,,,,,RF-1B-DH,goodmhu01
Randal Grichuk,31,52,52,41,446.2,108,103,3,2,0,.981,-8,-20,-5,-13,-2,2.14,1.51,,,,,,,,RF-CF-LF-DH,grichra01
Brad Hand,33,40,0,0,35.2,6,1,5,0,1,1.000,,,0,0,0,1.51,0.15,,3,10,1,9%,19%,1,P,handbr01
