Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary,Name-additional
Bryan Abreu,26,72,0,0,72.0,11,5,6,0,0,1.000,,,1,3,0,1.38,0.15,,1,4,2,33%,21%,0,P,abreubr01
José Abreu,36,134,134,128,1184.0,1089,1017,67,5,106,.995,-1,-1,-1,-1,0,8.24,7.69,,,,,,,,1B-DH,abreujo02
Jose Altuve,33,88,88,72,735.2,285,103,175,7,51,.975,-4,-7,-13,-21,-1,3.40,3.16,,,,,,,,2B-DH,altuvjo01
Yordan Alvarez,26,40,40,30,343.1,61,59,2,0,0,1.000,-1,-2,-1,-3,1,1.60,0.54,,,,,,,,LF-DH,alvaryo01
Rylan Bannon,27,1,1,1,9.0,0,0,0,0,0,,0,0,0,0,,0.00,0.00,,,,,,,,2B-DH,bannory01
Brandon Bielak,27,15,13,0,80.0,8,3,5,0,1,1.000,,,1,3,0,0.90,0.53,,3,5,6,55%,21%,1,P,bielabr01
Ronel Blanco,29,17,7,0,52.0,8,3,5,0,3,1.000,,,1,4,0,1.38,0.47,,2,2,0,0%,21%,0,P,blancro01
Michael Brantley,36,10,10,6,81.0,14,13,1,0,0,1.000,1,9,1,15,0,1.56,1.00,,,,,,,,LF-DH,brantmi02
Alex Bregman,29,160,160,153,1417.1,405,109,281,15,30,.963,4,3,5,4,0,2.48,2.42,,,,,,,,3B-DH,bregmal01
Hunter Brown,24,31,29,0,155.2,16,2,13,1,0,.938,,,-1,-1,0,0.87,0.48,,4,16,7,30%,21%,0,P,brownhu01
Yainer Diaz,24,68,49,49,462.0,463,429,28,6,15,.987,5,14,4,10,3,8.90,4.31,0,8,35,15,30%,21%,1,C-1B-DH,diazya02
Shawn Dubin,27,3,1,0,9.0,1,1,0,0,0,1.000,,,0,0,0,1.00,0.33,,0,0,0,,,0,P,dubinsh01
