Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary,Name-additional
Scott Barlow,30,38,0,0,38.2,7,0,7,0,0,1.000,,,1,5,0,1.63,0.18,,3,3,0,0%,21%,0,P,barlosc01
Matt Beaty,30,17,12,8,104.2,108,98,9,1,13,.991,-2,-17,-1,-11,-1,9.20,4.65,,,,,,,,1B-RF-DH,beatyma01
Dairon Blanco,30,61,36,25,356.2,102,98,4,0,0,1.000,3,11,4,13,0,2.57,1.42,,,,,,,,RF-LF-CF-DH,blancda02
Jonathan Bowlan,26,2,1,0,3.0,0,0,0,0,0,,,,0,0,,0.00,0.00,,0,0,0,,,0,P,bowlajo01
Jackie Bradley Jr.,33,43,32,28,294.1,77,74,3,0,0,1.000,4,16,4,16,0,2.35,1.71,,,,,,,,CF-RF-LF,bradlja02
Kris Bubic,25,3,3,0,16.0,2,1,1,0,0,1.000,,,0,0,0,1.13,0.67,,1,1,0,0%,21%,0,P,bubickr01
Max Castillo,24,7,0,0,20.1,6,0,6,0,1,1.000,,,2,20,0,2.66,0.86,,0,3,0,0%,21%,0,P,castima03
Aroldis Chapman,35,31,0,0,29.1,3,0,3,0,0,1.000,,,-2,-14,0,0.92,0.10,,2,15,1,6%,21%,1,P,chapmar01
Taylor Clarke,30,58,2,0,59.0,13,5,7,1,0,.923,,,1,3,0,1.83,0.21,,3,0,3,100%,21%,4,P,clarkta01
Dylan Coleman,26,23,1,0,18.1,0,0,0,0,0,,,,0,0,,0.00,0.00,,3,4,0,0%,21%,0,P,colemdy01
Austin Cox,26,24,3,0,35.2,3,1,2,0,0,1.000,,,1,6,0,0.76,0.13,,1,3,1,25%,21%,2,P,coxau01
Tyler Cropley,27,2,2,1,17.0,15,14,1,0,0,1.000,-1,-71,0,0,0,7.94,7.50,0,3,4,0,0%,21%,0,C,croplty01
Steven Cruz,24,10,4,0,12.2,1,0,1,0,0,1.000,,,0,0,0,0.71,0.10,,1,1,0,0%,21%,0,P,cruzst01
José Cuas,29,45,1,0,41.2,2,0,2,0,0,1.000,,,0,0,0,0.43,0.04,,2,3,0,0%,21%,0,P,cuasjo01
