Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary,Name-additional
Jordyn Adams,23,14,10,9,94.0,29,27,0,2,0,.931,-2,-26,-1,-13,0,2.59,1.93,,,,,,,,RF-CF-LF,adamsjo03
Jo Adell,24,16,16,12,129.2,40,40,0,0,0,1.000,0,0,3,28,2,2.78,2.11,,,,,,,,RF-CF-LF-DH,adelljo01
Tyler Anderson,33,27,25,0,141.0,21,10,11,0,1,1.000,,,3,4,0,1.34,0.78,,6,7,2,22%,21%,0,P,anderty01
Sam Bachman,23,11,0,0,17.0,1,0,1,0,0,1.000,,,0,0,0,0.53,0.09,,3,0,0,,,0,P,bachmsa01
Jaime Barria,26,34,6,0,82.1,12,2,10,0,1,1.000,,,3,7,0,1.31,0.35,,4,0,1,100%,21%,2,P,barrija01
Trey Cabbage,26,19,15,7,122.0,74,67,6,1,6,.986,0,0,0,0,0,5.39,3.65,,,,,,,,1B-RF-CF-LF,cabbatr01
Kelvin Caceres,23,2,0,0,1.1,1,0,1,0,0,1.000,,,0,0,0,6.75,0.50,,1,0,0,,,0,P,cacerke01
Griffin Canning,27,24,22,0,127.0,18,7,10,1,2,.944,,,3,5,0,1.20,0.71,,4,2,0,0%,21%,2,P,cannigr01
C.J. Cron,33,14,12,9,103.0,91,87,2,2,13,.978,0,-3,-1,-12,0,7.78,5.93,,,,,,,,1B-DH,croncj01
Davis Daniel,26,3,0,0,12.1,3,0,3,0,0,1.000,,,1,16,0,2.19,1.00,,1,1,0,0%,21%,0,P,danieda01
Tucker Davidson,27,18,0,0,31.2,3,1,2,0,0,1.000,,,-2,-13,0,0.85,0.17,,3,6,0,0%,21%,0,P,davidtu01
Reid Detmers,23,28,28,0,148.2,8,1,7,0,0,1.000,,,0,0,0,0.48,0.29,,7,15,4,21%,21%,2,P,detmere01
Chris Devenski,32,29,0,0,33.2,7,4,3,0,0,1.000,,,-1,-6,0,1.87,0.24,,1,8,0,0%,21%,0,P,devench02
Jhonathan Díaz,26,4,1,0,7.0,3,2,1,0,0,1.000,,,0,0,0,3.86,0.75,,0,1,1,50%,21%,1,P,diazjh01
Brandon Drury,30,116,113,86,991.2,553,335,216,2,68,.996,-10,-12,-2,-2,-1,5.00,3.72,,,,,,,,2B-1B-DH,drurybr01
Eduardo Escobar,34,51,39,30,360.0,112,47,61,4,6,.964,-8,-26,-6,-20,-1,2.70,1.89,,0,0,0,,,0,3B-2B-1B-P-DH,escobed01
Carlos Estévez,30,63,0,0,62.1,4,1,3,0,0,1.000,,,0,0,0,0.58,0.06,,1,2,0,0%,21%,0,P,estevca01
David Fletcher,29,32,26,20,241.2,96,38,57,1,13,.990,-5,-23,-1,-5,0,3.54,2.71,,,,,,,,SS-2B-3B,fletcda02
Carson Fulmer,29,3,1,0,10.0,3,2,1,0,0,1.000,,,0,0,0,2.70,1.00,,1,1,0,0%,21%,1,P,fulmeca01
Lucas Giolito,28,6,6,0,32.2,1,0,1,0,0,1.000,,,-1,-6,0,0.28,0.17,,0,5,0,0%,21%,0,P,giolilu01
Randal Grichuk,31,52,50,49,450.2,109,101,6,2,2,.982,-1,-3,4,11,3,2.14,1.95,,,,,,,,LF-CF-DH,grichra01
Jimmy Herget,29,29,1,0,29.0,3,1,2,0,1,1.000,,,1,7,0,0.93,0.10,,0,0,0,,,0,P,hergeji01
Kolton Ingram,26,5,0,0,5.1,0,0,0,0,0,,,,0,0,0,0.00,0.00,,0,0,0,,,0,P,ingrako01
Ben Joyce,22,12,0,0,10.0,0,0,0,0,0,,,,0,0,0,0.00,0.00,,1,1,0,0%,21%,0,P,joycebe01
Jake Lamb,32,17,14,6,105.0,94,82,11,1,9,.989,2,23,2,23,1,7.97,5.47,,0,0,0,,,0,1B-P,lambja01
Dominic Leone,31,11,0,0,13.0,0,0,0,0,0,,,,0,0,,0.00,0.00,,2,1,0,0%,21%,0,P,leonedo01
Reynaldo López,29,13,0,0,13.0,1,0,1,0,0,1.000,,,0,0,0,0.69,0.08,,1,0,0,,,0,P,lopezre01
Aaron Loup,35,55,0,0,48.2,12,3,9,0,1,1.000,,,1,4,0,2.22,0.22,,2,4,1,20%,21%,0,P,loupaa01
José Marte,27,10,0,0,9.1,2,1,1,0,0,1.000,,,0,0,0,1.93,0.20,,1,3,0,0%,21%,0,P,martejo01
Victor Mederos,22,3,0,0,3.0,0,0,0,0,0,,,,0,0,0,0.00,0.00,,0,0,0,,,0,P,medervi01
Mickey Moniak,25,80,77,63,664.0,173,168,1,4,0,.977,5,9,6,11,3,2.29,2.06,,,,,,,,CF-RF-LF,moniami01
Matt Moore,34,41,0,0,44.0,2,1,1,0,0,1.000,,,-1,-5,0,0.41,0.05,,1,4,0,0%,21%,0,P,moorema02
Reyes Moronta,30,2,0,0,1.1,0,0,0,0,0,,,,0,0,,0.00,0.00,,1,0,0,,,0,P,moronre01
