Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary,Name-additional
Yency Almonte,29,49,0,0,48.0,2,1,1,0,0,1.000,,,0,0,0,0.38,0.04,,3,3,1,25%,19%,0,P,almonye01
Austin Barnes,33,54,52,46,453.1,470,461,6,3,1,.994,-5,-13,-2,-5,1,9.27,8.49,3,14,63,8,11%,19%,0,C-2B-DH,barneau01
Mookie Betts,30,152,151,89,1284.2,420,244,171,5,38,.988,10,9,9,8,2,2.91,2.15,,,,,,,,RF-2B-SS,bettsmo01
Phil Bickford,27,36,0,0,42.0,6,3,3,0,0,1.000,,,-3,-14,0,1.29,0.17,,3,11,0,0%,19%,0,P,bickfph01
Ryan Brasier,35,39,0,0,38.2,5,3,1,1,0,.800,,,-2,-10,0,0.93,0.10,,1,5,0,0%,19%,0,P,brasiry01
Justin Bruihl,26,20,0,0,24.1,3,1,2,0,0,1.000,,,0,0,0,1.11,0.15,,2,2,1,33%,19%,0,P,bruihju01
Michael Busch,25,19,11,11,119.0,45,22,19,4,6,.911,-2,-24,-1,-10,0,3.10,1.52,,,,,,,,3B-1B-2B-LF-DH,buschmi02
Dylan Covey,31,1,0,0,4.0,1,1,0,0,0,1.000,,,0,0,0,2.25,1.00,,0,0,0,,,0,P,coveydy01
Tyler Cyr,30,2,0,0,1.2,0,0,0,0,0,,,,0,0,,0.00,0.00,,0,0,0,,,0,P,cyrty01
Jonny DeLuca,24,21,10,1,94.2,34,31,2,1,1,.971,2,22,2,25,1,3.14,1.27,,,,,,,,LF-CF-RF-DH,delucjo01
Caleb Ferguson,26,68,7,0,60.1,9,3,4,2,1,.778,,,-2,-7,0,1.04,0.10,,3,4,1,20%,19%,0,P,ferguca01
Freddie Freeman,33,161,161,139,1378.1,1260,1131,128,1,126,.999,3,3,-9,-8,0,8.22,7.82,,,,,,,,1B,freemfr01
Tony Gonsolin,29,20,20,0,103.0,20,13,7,0,0,1.000,,,1,2,0,1.75,1.00,,2,8,1,11%,19%,0,P,gonsoto01
Victor González,27,34,1,0,33.2,6,2,4,0,0,1.000,,,0,0,0,1.60,0.18,,1,2,0,0%,19%,0,P,gonzavi02
Brusdar Graterol,24,68,1,0,67.1,22,6,14,2,3,.909,,,0,0,0,2.67,0.29,,2,5,2,29%,19%,0,P,gratebr01
Michael Grove,26,18,12,0,69.0,10,4,4,2,1,.800,,,-1,-3,0,1.04,0.44,,3,7,2,22%,19%,0,P,grovemi01
Enrique Hernández,31,54,42,22,404.2,145,84,58,3,13,.979,1,1,2,6,0,3.16,2.00,,,,,,,,3B-SS-CF-LF-2B-1B-RF,hernaen02
Yonny Hernández,25,11,4,2,52.0,21,8,13,0,5,1.000,0,-5,1,23,0,3.63,1.75,,0,0,0,,,0,2B-3B-P,hernayo02
Jason Heyward,33,112,93,48,780.0,205,197,3,5,0,.976,8,13,3,5,-2,2.31,1.52,,,,,,,,RF-CF-LF-1B-DH,heywaja01
