Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary,Name-additional
Sandy Alcántara,27,28,28,3,184.2,35,14,16,5,1,.857,,,-4,-4,0,1.46,1.07,,4,17,3,15%,19%,2,P,alcansa01
Jacob Amaya,24,4,3,0,23.0,3,1,2,0,0,1.000,0,-14,0,0,0,1.17,0.75,,,,,,,,SS-2B,amayaja01
Luis Arráez,26,144,140,120,1214.0,615,294,317,4,105,.993,4,4,2,2,0,4.53,4.16,,,,,,,,2B-1B-DH,arraelu01
Matt Barnes,33,24,1,0,21.1,2,1,1,0,0,1.000,,,-2,-19,0,0.84,0.08,,2,5,0,0%,19%,0,P,barnema01
Josh Bell,30,30,30,15,246.0,224,199,23,2,17,.991,0,2,-4,-20,0,8.12,4.19,,,,,,,,1B-DH,belljo02
Jon Berti,33,126,100,71,911.0,361,124,225,12,44,.967,6,8,5,7,-1,3.45,2.49,,,,,,,,SS-3B-LF-2B-RF-DH,bertijo01
Archie Bradley,30,4,0,0,7.1,1,0,1,0,0,1.000,,,0,0,0,1.23,0.25,,1,1,1,50%,19%,0,P,bradlar01
Huascar Brazobán,33,50,0,0,58.2,10,3,5,2,1,.800,,,-3,-10,0,1.23,0.16,,3,11,0,0%,19%,0,P,brazohu01
Peyton Burdick,26,13,8,5,82.0,14,14,0,0,0,1.000,-3,-37,0,0,0,1.54,0.93,,,,,,,,RF-CF-LF,burdipe01
Jake Burger,27,49,48,41,405.0,126,28,92,6,8,.952,-5,-15,-4,-12,0,2.67,2.26,,,,,,,,3B-DH,burgeja01
Edward Cabrera,25,22,20,0,99.2,12,4,7,1,1,.917,,,-1,-2,0,0.99,0.50,,1,16,2,11%,19%,1,P,cabreed02
Daniel Castano,28,2,0,0,3.0,0,0,0,0,0,,,,0,0,,0.00,0.00,,0,0,0,,,0,P,castada01
JT Chargois,32,46,5,0,42.1,6,2,3,1,0,.833,,,-1,-5,0,1.06,0.11,,0,5,1,17%,19%,0,P,chargjt01
Jazz Chisholm Jr.,25,95,92,76,775.2,178,171,4,3,1,.983,2,4,-9,-14,-1,2.03,1.82,,,,,,,,CF-DH,chishja01
Garrett Cooper,32,51,50,47,428.0,413,392,20,1,41,.998,0,-1,2,6,1,8.66,5.35,,,,,,,,1B-DH,coopega03
Johnny Cueto,37,13,10,0,52.1,10,3,7,0,1,1.000,,,2,8,0,1.72,0.77,,0,0,0,,,1,P,cuetojo01
Jonathan Davis,31,33,27,24,245.0,51,51,0,0,0,1.000,-2,-11,-3,-15,0,1.87,1.50,,,,,,,,CF-RF-LF,davisjo05
Enmanuel De Jesus,26,2,0,0,6.1,3,2,1,0,0,1.000,,,1,32,1,4.26,1.50,,0,1,0,0%,19%,0,P,dejesen01
Bryan De La Cruz,26,152,146,127,1299.1,289,277,7,5,3,.983,-4,-3,-8,-7,-2,1.97,1.72,,,,,,,,LF-RF-CF-DH,delacbr01
Xavier Edwards,23,27,20,15,180.1,60,25,35,0,12,1.000,-2,-12,-1,-7,0,2.99,2.07,,,,,,,,2B-CF-DH,edwarxa01
Dylan Floro,32,43,0,0,39.2,7,2,4,1,2,.857,,,-1,-5,0,1.36,0.14,,1,2,1,33%,19%,0,P,florody01
Nick Fortes,26,104,85,80,774.0,874,826,36,12,2,.986,-2,-3,5,8,6,10.02,8.13,1,23,72,14,16%,19%,0,C-DH,forteni01
Avisaíl García,32,31,28,20,235.0,46,45,1,0,0,1.000,2,8,1,5,0,1.76,1.28,,,,,,,,RF-LF-CF-DH,garciav01
Robert Garcia,27,1,0,0,0.1,0,0,0,0,0,,,,0,0,,0.00,0.00,,0,0,0,,,0,P,garciro04
Braxton Garrett,25,31,30,0,159.2,29,7,20,2,1,.931,,,0,0,-1,1.52,0.87,,4,14,3,18%,19%,2,P,garrebr01
Chi Chi González,31,3,0,0,3.2,1,0,1,0,0,1.000,,,0,0,0,2.45,0.33,,0,1,0,0%,19%,0,P,gonzach01
Yuli Gurriel,39,93,71,70,671.1,603,569,32,2,64,.997,1,1,-1,-2,0,8.06,6.13,,,,,,,,1B-DH,gourryu01
Garrett Hampson,28,87,59,36,571.2,189,99,86,4,19,.979,-7,-14,-1,-2,-1,2.91,1.70,,,,,,,,SS-CF-RF-2B-3B-LF-DH,hampsga01
Geoff Hartlieb,29,2,0,0,4.0,0,0,0,0,0,,,,0,0,,0.00,0.00,,0,0,0,,,0,P,hartlge01
Bryan Hoeing,26,33,7,0,70.2,17,9,8,0,0,1.000,,,2,6,0,2.17,0.52,,1,6,1,14%,19%,0,P,hoeinbr01
Jeff Lindgren,26,3,0,0,7.0,1,1,0,0,0,1.000,,,0,0,0,1.29,0.33,,0,0,0,,,0,P,lindgje01
Jorge López,30,12,0,0,11.2,1,0,1,0,0,1.000,,,0,0,0,0.77,0.08,,3,0,0,,,0,P,lopezjo02
Jesús Luzardo,25,32,32,0,178.2,31,5,23,3,1,.903,,,7,8,1,1.41,0.88,,7,11,4,27%,19%,4,P,luzarje01
Matt Moore,34,4,0,0,4.0,0,0,0,0,0,,,,0,0,,0.00,0.00,,0,0,0,,,0,P,moorema02
Dane Myers,27,21,17,15,155.1,46,46,0,0,0,1.000,3,23,-3,-23,0,2.67,2.00,,,,,,,,CF-LF-DH,myersda01
Andrew Nardi,24,63,0,0,57.1,9,4,5,0,0,1.000,,,1,3,0,1.41,0.14,,0,1,1,50%,19%,0,P,nardian01
Sean Nolin,33,1,0,0,3.0,0,0,0,0,0,,,,0,0,,0.00,0.00,,0,0,0,,,0,P,nolinse01
Steven Okert,31,64,2,0,58.2,4,2,2,0,0,1.000,,,-1,-3,0,0.61,0.06,,1,9,0,0%,19%,0,P,okertst01
Eury Pérez,20,19,19,0,91.1,6,3,3,0,0,1.000,,,-1,-2,0,0.59,0.32,,6,11,1,8%,19%,0,P,perezeu02
A.J. Puk,28,58,0,0,56.2,7,1,6,0,0,1.000,,,-2,-7,0,1.11,0.12,,1,8,1,11%,19%,1,P,pukaj01
Johan Quezada,28,1,0,0,0.2,0,0,0,0,0,,,,0,0,,0.00,0.00,,0,0,0,,,0,P,quezajo01
David Robertson,38,22,0,0,21.1,3,3,0,0,0,1.000,,,-1,-9,0,1.27,0.14,,1,4,0,0%,19%,0,P,roberda08
Trevor Rogers,25,4,4,0,18.0,2,0,1,1,0,.500,,,-1,-11,0,0.50,0.25,,0,0,0,,,0,P,rogertr01
Jesús Sánchez,25,118,100,77,888.1,199,190,6,3,1,.985,-12,-16,5,7,2,1.99,1.58,,,,,,,,RF-LF-CF-DH,sanchje02
Tanner Scott,28,74,0,0,78.0,7,1,5,1,0,.857,,,0,0,0,0.69,0.08,,1,5,0,0%,19%,0,P,scottta01
Jean Segura,33,84,83,77,720.1,218,45,163,10,16,.954,-7,-12,-9,-15,-1,2.60,2.48,,,,,,,,3B,segurje01
Devin Smeltzer,27,9,1,0,22.1,3,1,2,0,1,1.000,,,0,0,0,1.21,0.33,,1,0,1,100%,19%,0,P,smeltde01
Jorge Soler,31,32,31,14,241.2,42,42,0,0,0,1.000,-6,-27,-5,-25,0,1.56,0.31,,,,,,,,RF-DH,solerjo01
George Soriano,24,26,1,0,52.0,8,5,2,1,0,.875,,,0,0,0,1.21,0.27,,0,0,0,,,0,P,soriage01
