Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary,Name-additional
Willy Adames,27,147,147,138,1282.0,524,159,351,14,58,.973,13,12,8,7,-1,3.58,3.42,,,,,,,,SS-DH,adamewi01
Brian Anderson,30,91,85,63,763.2,208,103,100,5,11,.976,0,0,4,6,1,2.39,1.80,,,,,,,,3B-RF-DH,anderbr06
Clayton Andrews,26,4,0,0,3.1,0,0,0,0,0,,,,0,0,,0.00,0.00,,1,0,0,,,0,P,andrecl02
Caleb Boushley,29,1,0,0,2.1,0,0,0,0,0,,,,0,0,,0.00,0.00,,1,1,0,0%,19%,0,P,boushca01
Mike Brosseau,29,25,20,9,160.1,55,23,27,5,3,.909,-2,-18,-3,-22,-1,2.81,1.67,,0,0,0,,,0,3B-1B-P-2B-DH,brossmi01
J.B. Bukauskas,26,5,0,0,6.0,3,2,1,0,0,1.000,,,0,0,0,4.50,0.60,,0,1,0,0%,19%,0,P,bukaujb01
Corbin Burnes,28,32,32,0,193.2,43,29,12,2,2,.953,,,-1,-1,0,1.91,1.28,,10,11,2,15%,19%,1,P,burneco01
Matt Bush,37,12,0,0,10.1,3,2,1,0,0,1.000,,,0,0,0,2.61,0.25,,0,1,0,0%,19%,0,P,bushma01
Mark Canha,34,31,30,14,242.0,65,63,1,1,5,.985,-2,-10,-1,-5,-1,2.38,1.21,,,,,,,,LF-RF-1B-DH,canhama01
Víctor Caratini,29,59,55,55,509.1,506,488,17,1,2,.998,-1,-3,1,2,1,8.92,8.28,0,21,44,7,14%,19%,0,C-1B-DH,caratvi01
Andrew Chafin,33,20,0,0,17.0,6,2,3,1,1,.833,,,1,12,0,2.65,0.25,,1,1,0,0%,19%,0,P,chafian01
Alex Claudio,31,1,0,0,0.1,0,0,0,0,0,,,,0,0,,0.00,0.00,,0,0,0,,,0,P,claudal01
William Contreras,25,108,108,104,942.2,1010,969,30,11,5,.989,-2,-2,5,6,-1,9.54,7.09,2,33,77,16,17%,19%,0,C-DH,contrwi02
Jake Cousins,28,9,0,0,9.1,3,1,2,0,0,1.000,,,1,21,0,2.89,0.33,,2,0,1,100%,19%,1,P,cousija01
Josh Donaldson,37,15,15,11,128.0,40,8,31,1,4,.975,1,11,1,9,0,2.74,2.29,,,,,,,,3B-DH,donaljo02
Sal Frelick,23,55,49,33,446.1,99,95,4,0,1,1.000,5,14,6,16,0,2.00,1.38,,,,,,,,RF-CF-LF-DH,frelisa01
Javy Guerra,27,8,0,0,8.1,2,1,1,0,0,1.000,,,0,0,0,2.16,0.25,,2,2,0,0%,19%,0,P,guerrja02
Adrian Houser,30,23,21,0,111.1,19,11,8,0,1,1.000,,,2,4,0,1.54,0.83,,2,4,1,20%,19%,1,P,housead01
