Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary,Name-additional
Jorge Alcalá,27,11,0,0,17.1,3,1,2,0,0,1.000,,,1,12,0,1.56,0.27,,0,3,0,0%,21%,0,P,alcaljo01
Jordan Balazovic,24,18,0,0,24.1,2,2,0,0,0,1.000,,,-1,-8,0,0.74,0.11,,3,0,0,,,0,P,balazjo02
Byron Buxton,29,80,80,,,,,,,,,,,,,,,,,,,,,,,DH,buxtoby01
Willi Castro,26,113,92,46,865.1,221,148,71,2,9,.991,-3,-4,5,7,0,2.28,1.30,,0,0,0,,,0,LF-CF-3B-2B-SS-RF-P-DH,castrwi01
Carlos Correa,28,135,134,114,1144.1,450,166,278,6,56,.987,1,1,-2,-2,2,3.49,3.29,,,,,,,,SS,correca01
José De León,30,13,1,0,17.1,1,0,1,0,0,1.000,,,0,0,0,0.52,0.08,,0,1,0,0%,21%,0,P,deleojo03
Jhoan Durán,25,59,0,0,62.1,12,2,10,0,0,1.000,,,-2,-6,-1,1.73,0.20,,8,8,1,11%,21%,1,P,duranjh01
Kyle Farmer,32,117,79,57,796.1,246,89,153,4,35,.984,-3,-4,-2,-3,-1,2.74,1.78,,,,,,,,3B-SS-2B-1B-LF-DH,farmeky01
Dylan Floro,32,19,0,0,17.0,2,0,2,0,1,1.000,,,-2,-24,0,1.06,0.11,,0,5,0,0%,21%,0,P,florody01
Kody Funderburk,26,11,0,0,12.0,5,2,3,0,0,1.000,,,0,0,0,3.75,0.45,,0,2,1,33%,21%,1,P,fundeko01
Joey Gallo,29,108,82,46,736.1,377,354,21,2,28,.995,-1,-2,-1,-2,-1,4.58,3.02,,,,,,,,1B-LF-RF-CF-DH,gallojo01
Kyle Garlick,31,12,8,1,60.0,10,10,0,0,0,1.000,0,4,0,0,0,1.50,0.71,,,,,,,,RF-LF-DH,garliky01
Nick Gordon,27,34,23,7,206.1,77,55,21,1,8,.987,2,12,1,6,1,3.32,1.69,,,,,,,,CF-2B-LF-SS,gordoni01
Sonny Gray,33,32,32,0,184.0,30,10,20,0,1,1.000,,,4,4,0,1.47,0.94,,6,8,4,33%,21%,3,P,grayso01
Brent Headrick,25,14,0,0,25.2,1,0,1,0,0,1.000,,,0,0,0,0.35,0.07,,1,0,0,,,0,P,headrbr01
Griffin Jax,28,71,0,0,65.1,15,7,7,1,0,.933,,,-1,-3,0,1.93,0.20,,1,9,0,0%,21%,1,P,jaxgr01
Ryan Jeffers,26,82,71,68,658.1,709,675,31,3,4,.996,3,5,1,2,1,9.65,7.76,6,26,40,13,25%,21%,0,C-DH,jeffery01
Edouard Julien,24,78,68,38,552.1,238,97,139,2,22,.992,-3,-7,-3,-7,0,3.85,2.23,,,,,,,,2B-1B-DH,julieed01
Max Kepler,30,124,110,93,972.1,224,220,3,1,0,.996,5,6,2,2,-1,2.06,1.77,,,,,,,,RF-DH,keplema01
Dallas Keuchel,35,10,6,0,37.2,13,3,10,0,0,1.000,,,0,0,0,3.11,1.30,,2,4,1,20%,21%,0,P,keuchda01
Alex Kirilloff,25,85,70,46,624.2,446,420,23,3,34,.993,-7,-13,-8,-15,0,6.38,4.47,,,,,,,,1B-RF-LF-DH,kirilal01
Trevor Larnach,26,56,45,32,416.1,91,91,0,0,0,1.000,3,10,-3,-9,1,1.97,1.36,,,,,,,,LF-RF-DH,larnatr01
