Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary,Name-additional
Abraham Almonte,34,2,2,1,16.0,6,6,0,0,0,1.000,-1,-68,-1,-75,0,3.38,1.20,,,,,,,,LF-RF-DH,almonab01
Pete Alonso,28,145,145,142,1256.2,1111,983,122,6,119,.995,10,9,6,6,0,7.91,7.22,,,,,,,,1B-DH,alonspe01
Francisco Alvarez,21,108,100,90,873.2,926,870,43,13,3,.986,-10,-14,7,10,0,9.41,7.94,8,39,99,15,13%,19%,4,C-DH,alvarfr01
Jonathan Araúz,24,27,17,17,169.0,71,24,46,1,7,.986,1,8,0,0,0,3.73,2.59,,,,,,,,3B-2B-SS,arauzjo01
Brett Baty,23,101,94,80,809.2,227,68,149,10,17,.956,-16,-24,-5,-7,0,2.41,2.07,,,,,,,,3B-LF-DH,batybr01
Phil Bickford,27,25,0,0,25.1,2,1,1,0,0,1.000,,,-1,-8,0,0.71,0.08,,1,7,0,0%,19%,0,P,bickfph01
Jeff Brigham,31,37,0,0,37.2,7,3,3,1,0,.857,,,0,0,0,1.43,0.16,,0,3,1,25%,19%,0,P,brighje01
José Buttó,25,9,7,0,42.0,6,4,2,0,0,1.000,,,-2,-10,0,1.29,0.67,,0,10,0,0%,19%,0,P,buttojo01
Mark Canha,34,72,63,51,570.2,197,180,16,1,7,.995,4,8,4,8,1,3.09,2.04,,,,,,,,LF-1B-RF-3B-DH,canhama01
Carlos Carrasco,36,20,20,0,90.0,22,11,10,1,0,.955,,,-1,-2,-1,2.10,1.05,,3,12,1,8%,19%,3,P,carraca01
Sam Coonrod,30,10,0,0,6.2,2,1,1,0,0,1.000,,,0,0,0,2.70,0.20,,1,1,0,0%,19%,0,P,coonrsa01
John Curtiss,30,15,0,0,19.2,1,1,0,0,0,1.000,,,0,0,0,0.46,0.07,,0,3,0,0%,19%,0,P,curtijo02
Eduardo Escobar,34,35,32,23,271.0,103,27,73,3,12,.971,0,0,-2,-9,0,3.32,2.33,,,,,,,,3B-2B-SS-DH,escobed01
Reed Garrett,30,9,0,0,17.0,2,1,1,0,0,1.000,,,0,0,0,1.06,0.22,,0,3,1,25%,19%,0,P,garrere01
Trevor Gott,30,34,0,0,29.0,9,2,6,1,0,.889,,,0,0,0,2.48,0.24,,0,6,0,0%,19%,1,P,gotttr01
Luis Guillorme,28,49,29,20,271.1,126,53,70,3,22,.976,6,26,-1,-4,0,4.08,2.32,,0,0,0,,,0,2B-3B-SS-P,guilllu01
Grant Hartwig,25,28,0,0,35.1,5,2,2,1,0,.800,,,1,6,0,1.02,0.14,,2,1,0,0%,19%,1,P,hartwgr01
Tommy Hunter,36,14,0,0,23.2,5,3,2,0,0,1.000,,,0,0,0,1.90,0.36,,0,1,0,0%,19%,0,P,hunteto02
Anthony Kay,28,3,0,0,3.1,1,1,0,0,0,1.000,,,0,0,0,2.70,0.33,,0,1,0,0%,19%,0,P,kayan01
