Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary,Name-additional
Albert Abreu,27,45,0,0,59.0,12,6,4,2,0,.833,,,-1,-3,0,1.53,0.22,,5,7,0,0%,21%,1,P,abreual01
Greg Allen,30,19,6,5,83.0,18,18,0,0,0,1.000,0,-3,-2,-29,0,1.95,0.90,,,,,,,,LF-CF-RF-DH,allengr01
Harrison Bader,29,83,76,72,673.1,213,204,3,6,0,.972,15,26,5,9,-1,2.77,2.49,,,,,,,,CF,baderha01
Jake Bauers,27,74,66,38,538.0,223,214,6,3,14,.987,-12,-26,-9,-20,-2,3.68,2.75,,,,,,,,RF-1B-LF-DH,bauerja01
Matt Bowman,32,3,0,0,4.0,0,0,0,0,0,,,,0,0,,0.00,0.00,,1,0,0,,,0,P,bowmama01
Colten Brewer,30,3,0,0,8.1,3,2,1,0,0,1.000,,,0,0,0,3.24,1.00,,1,0,0,,,0,P,breweco01
Jhony Brito,25,25,13,0,90.1,17,8,8,1,1,.941,,,1,2,1,1.59,0.64,,0,7,3,30%,21%,1,P,britojh01
Oswaldo Cabrera,24,108,80,62,771.1,187,134,48,5,12,.973,3,5,-4,-6,-1,2.12,1.39,,,,,,,,LF-RF-3B-SS-2B-1B-CF-DH,cabreos01
Willie Calhoun,28,12,10,3,75.0,10,10,0,0,0,1.000,0,5,-2,-32,0,1.20,0.26,,,,,,,,RF-LF-DH,calhowi01
Gerrit Cole,32,33,33,2,209.0,31,10,19,2,0,.935,,,2,2,0,1.25,0.88,,4,7,4,36%,21%,1,P,colege01
Franchy Cordero,28,22,19,14,161.0,35,34,1,0,0,1.000,-3,-19,-1,-7,0,1.96,1.59,,,,,,,,RF-LF,cordefr02
Jimmy Cordero,31,31,1,0,32.2,4,0,3,1,0,.750,,,-1,-6,0,0.83,0.10,,5,6,0,0%,21%,0,P,cordeji01
Nestor Cortes,28,12,12,0,63.1,10,5,5,0,0,1.000,,,0,0,0,1.42,0.83,,0,2,1,33%,21%,2,P,cortene01
Jasson Domínguez,20,8,8,8,72.0,16,16,0,0,0,1.000,0,-5,-2,-33,0,2.00,2.00,,,,,,,,CF,dominja01
Josh Donaldson,37,24,23,21,195.1,61,18,42,1,5,.984,2,14,1,1,0,2.76,1.94,,0,0,0,,,0,3B-P-DH,donaljo02
Estevan Florial,25,19,18,17,156.0,41,40,0,1,0,.976,2,12,-1,-8,-1,2.31,2.11,,,,,,,,CF,flories01
Deivi García,24,2,0,0,5.2,2,2,0,0,0,1.000,,,0,0,0,3.18,1.00,,0,0,0,,,0,P,garcide01
Domingo Germán,30,20,19,1,108.2,23,13,8,2,0,.913,,,0,0,0,1.74,1.05,,2,12,2,14%,21%,1,P,germado01
Yoendrys Gómez,23,1,0,0,2.0,0,0,0,0,0,,,,0,0,,0.00,0.00,,0,0,0,,,0,P,gomezyo01
Ian Hamilton,28,39,3,0,58.0,15,8,7,0,1,1.000,,,2,7,0,2.33,0.38,,1,2,2,50%,21%,2,P,hamilia01
Aaron Hicks,33,25,20,17,182.1,33,33,0,0,0,1.000,-3,-18,-1,-7,0,1.63,1.18,,,,,,,,LF-CF-DH,hicksaa01
Kyle Higashioka,33,90,71,58,642.0,686,663,14,9,1,.987,-1,-2,1,2,-4,9.49,7.36,5,32,55,11,17%,21%,1,C-DH,higasky01
Clay Holmes,30,66,0,0,63.0,13,4,8,1,0,.923,,,-1,-3,0,1.71,0.18,,5,2,0,0%,21%,0,P,holmecl01
Aaron Judge,31,67,66,53,573.1,133,130,2,1,0,.992,-4,-9,-4,-8,4,2.07,1.20,,,,,,,,RF-CF-DH,judgeaa01
Tommy Kahnle,33,42,0,0,40.2,8,6,1,1,0,.875,,,-1,-5,0,1.55,0.17,,3,0,0,,,0,P,kahnlto01
Isiah Kiner-Falefa,28,109,88,68,819.2,248,176,66,6,8,.976,7,10,0,0,-1,2.66,1.98,,0,0,0,,,0,CF-LF-3B-RF-SS-P-2B,kineris01
Michael King,28,49,9,0,104.2,20,11,9,0,0,1.000,,,1,2,0,1.72,0.41,,2,3,3,50%,21%,2,P,kingmi01
Matt Krook,28,4,0,0,4.0,2,0,1,1,0,.500,,,-1,-50,0,2.25,0.25,,1,2,0,0%,21%,0,P,krookma01
DJ LeMahieu,34,128,126,114,1122.1,612,424,185,3,51,.995,-2,-2,5,5,0,4.88,4.41,,,,,,,,3B-1B-2B-DH,lemahdj01
Jonathan Loáisiga,28,17,0,0,17.2,6,1,5,0,1,1.000,,,1,11,0,3.06,0.35,,0,1,0,0%,21%,0,P,loaisjo01
Ron Marinaccio,27,45,0,0,47.1,9,5,4,0,0,1.000,,,-1,-4,0,1.71,0.20,,2,12,2,14%,21%,2,P,marinro01
Zach McAllister,35,7,0,0,5.1,2,0,2,0,0,1.000,,,0,0,0,3.38,0.29,,0,1,0,0%,21%,0,P,mcallza01
Billy McKinney,28,41,38,22,334.0,61,59,2,0,0,1.000,-5,-16,-2,-7,-1,1.64,1.15,,,,,,,,LF-CF-RF-1B,mckinbi01
Keynan Middleton,29,12,0,0,14.1,3,1,2,0,0,1.000,,,0,0,0,1.88,0.25,,1,2,0,0%,21%,0,P,middlke01
Anthony Misiewicz,28,3,0,0,2.2,1,0,1,0,0,1.000,,,0,0,0,3.38,0.33,,1,0,0,,,0,P,misiean01
Frankie Montas,30,1,0,0,1.1,1,0,1,0,0,1.000,,,0,0,0,6.75,1.00,,0,0,1,100%,21%,0,P,montafr02
Wandy Peralta,31,63,0,0,54.0,17,8,9,0,0,1.000,,,4,15,0,2.83,0.27,,1,1,2,67%,21%,3,P,peralwa01
Oswald Peraza,23,50,48,46,427.0,148,48,96,4,11,.973,1,4,0,0,0,3.04,2.72,,,,,,,,3B-2B-SS-DH,perazos02
Everson Pereira,22,27,26,26,234.2,45,44,1,0,0,1.000,-2,-8,2,10,0,1.73,1.67,,,,,,,,LF,pereiev01
Nick Ramirez,33,32,0,0,40.2,5,3,0,2,0,.600,,,-1,-5,0,0.66,0.09,,0,3,0,0%,21%,0,P,ramirni01
Anthony Rizzo,33,92,92,87,809.2,762,656,102,4,58,.995,3,5,3,4,1,8.43,7.66,,,,,,,,1B-DH,rizzoan01
Carlos Rodón,30,14,14,0,64.1,2,0,2,0,0,1.000,,,-1,-3,-1,0.28,0.14,,9,5,1,17%,21%,1,P,rodonca01
Ben Rortvedt,25,31,24,16,212.1,233,225,6,2,1,.991,1,6,2,11,-1,9.79,7.22,1,8,8,4,33%,21%,0,C-DH,rortvbe01
