Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary,Name-additional
Domingo Acevedo,29,9,0,0,9.1,1,0,0,1,0,.000,,,0,0,0,0.00,0.00,,1,2,0,0%,21%,0,P,acevedo01
Garrett Acton,25,6,0,0,5.2,1,0,1,0,0,1.000,,,0,0,0,1.59,0.17,,0,0,0,,,0,P,actonga01
Jesús Aguilar,33,24,20,11,163.0,124,112,10,2,13,.984,-2,-13,-3,-22,-1,6.74,3.70,,,,,,,,1B-DH,aguilje01
Nick Allen,24,104,93,86,825.2,376,121,246,9,41,.976,-2,-3,3,4,0,4.00,3.46,,,,,,,,SS-2B-DH,allenni02
Paul Blackburn,29,21,20,0,103.2,20,12,7,1,0,.950,,,2,4,0,1.65,0.90,,1,10,3,23%,21%,1,P,blackpa01
JJ Bleday,25,75,71,58,622.0,167,160,4,3,2,.982,-5,-10,-5,-10,-2,2.37,1.95,,,,,,,,LF-CF-RF-DH,bledajj01
Joe Boyle,23,3,3,0,16.0,1,0,1,0,0,1.000,,,0,0,0,0.56,0.33,,0,2,1,33%,21%,1,P,boylejo01
Jonah Bride,27,31,26,15,213.0,77,32,43,2,9,.974,0,2,0,0,0,3.17,1.97,,,,,,,,3B-1B-DH,bridejo01
Seth Brown,30,91,80,58,702.2,256,249,7,0,7,1.000,4,6,3,5,0,3.28,2.19,,,,,,,,RF-LF-1B-DH,brownse01
Lawrence Butler,22,42,33,25,295.2,83,82,1,0,1,1.000,1,2,-3,-12,-1,2.53,1.93,,,,,,,,CF-RF,butlela01
Conner Capel,26,26,21,16,178.0,45,42,2,1,0,.978,-5,-32,1,7,0,2.22,1.52,,,,,,,,RF-LF-DH,capelco01
Aledmys Díaz,32,98,78,40,673.2,229,99,125,5,27,.978,-11,-19,-8,-14,0,2.99,1.88,,,,,,,,SS-3B-2B-LF-1B-DH,diazal02
Jordan Diaz,22,73,65,47,541.2,184,88,88,8,21,.957,-12,-26,-10,-22,-1,2.92,1.98,,,,,,,,3B-2B-1B-DH,diazjo03
Lucas Erceg,28,50,0,0,55.0,7,2,3,2,1,.714,,,0,0,0,0.82,0.10,,5,0,1,100%,21%,1,P,erceglu01
Joey Estes,21,2,2,0,10.0,1,1,0,0,0,1.000,,,0,0,0,0.90,0.50,,1,1,0,0%,21%,0,P,estesjo01
Jeurys Familia,33,14,0,0,12.2,1,0,1,0,0,1.000,,,0,0,0,0.71,0.07,,0,0,0,,,0,P,familje01
Angel Felipe,25,14,0,0,15.0,2,1,1,0,1,1.000,,,1,13,0,1.20,0.14,,1,0,0,,,0,P,felipan01
Shintaro Fujinami,29,34,7,0,49.1,4,3,1,0,0,1.000,,,0,0,1,0.73,0.12,,4,2,0,0%,21%,0,P,fujinsh01
Rico Garcia,29,7,0,0,8.2,0,0,0,0,0,,,,0,0,,0.00,0.00,,0,0,0,,,0,P,garciri01
Zack Gelof,23,69,69,69,601.2,281,137,141,3,44,.989,-1,-2,0,0,0,4.16,4.03,,,,,,,,2B,gelofza01
Hogan Harris,26,14,6,0,63.0,12,5,5,2,0,.833,,,1,3,0,1.43,0.71,,1,4,0,0%,21%,0,P,harriho03
Zach Jackson,28,19,0,0,18.0,2,1,1,0,0,1.000,,,0,0,0,1.00,0.11,,5,2,1,33%,21%,1,P,jacksza02
Dany Jiménez,29,25,1,0,23.1,2,0,2,0,0,1.000,,,0,0,0,0.77,0.08,,2,3,1,25%,21%,0,P,jimenda01
James Kaprielian,29,14,11,0,61.0,2,2,0,0,0,1.000,,,-2,-7,0,0.30,0.14,,3,10,2,17%,21%,0,P,kaprija01
Tony Kemp,31,114,99,79,866.0,312,204,101,7,22,.978,-16,-22,-12,-17,0,3.17,2.44,,,,,,,,LF-2B-DH,kempto01
Shea Langeliers,25,123,116,114,1028.0,1002,945,47,10,6,.990,2,2,-13,-15,-4,8.68,7.57,7,54,84,38,31%,21%,0,C-DH,langesh01
Ramón Laureano,28,58,56,49,472.2,155,144,6,5,3,.968,9,22,10,25,2,2.86,2.42,,,,,,,,RF-CF-DH,laurera01
Sam Long,27,40,1,0,45.0,5,1,4,0,0,1.000,,,0,0,0,1.00,0.13,,2,0,2,100%,21%,2,P,longsa01
Richard Lovelady,27,27,0,0,23.1,1,0,1,0,0,1.000,,,-2,-17,0,0.39,0.04,,0,3,1,25%,21%,0,P,lovelri01
Easton Lucas,26,6,0,0,6.2,0,0,0,0,0,,,,0,0,,0.00,0.00,,2,1,0,0%,21%,0,P,lucasea01
Adrián Martinez,26,22,1,0,55.0,11,5,6,0,0,1.000,,,-1,-4,0,1.80,0.50,,4,9,3,25%,21%,0,P,martiad01
Trevor May,33,49,0,0,46.2,5,2,3,0,0,1.000,,,-1,-4,0,0.96,0.10,,2,6,2,25%,21%,1,P,maytr01
Luis Medina,24,23,17,0,109.2,22,7,14,1,3,.955,,,1,2,-1,1.72,0.91,,11,7,3,30%,21%,1,P,medinlu02
Mason Miller,24,10,6,0,33.1,3,2,1,0,1,1.000,,,1,6,0,0.81,0.30,,3,1,2,67%,21%,0,P,millema03
Sam Moll,31,45,1,0,37.2,7,2,5,0,0,1.000,,,1,5,0,1.67,0.16,,4,6,1,14%,21%,1,P,mollsa01
Kyle Muller,25,21,13,0,77.0,11,4,5,2,0,.818,,,-1,-3,0,1.05,0.43,,3,10,3,23%,21%,2,P,mulleky01
Zach Neal,34,14,2,0,27.0,4,1,3,0,1,1.000,,,1,7,0,1.33,0.29,,0,0,1,100%,21%,0,P,nealza01
Sean Newcomb,30,7,2,0,15.0,0,0,0,0,0,,,,0,0,0,0.00,0.00,,1,1,0,0%,21%,0,P,newcose01
Ryan Noda,27,119,107,88,952.0,787,733,47,7,78,.991,-2,-3,0,0,-1,7.37,5.78,,,,,,,,1B-RF-LF-DH,nodary01
Adam Oller,28,9,1,0,19.2,0,0,0,0,0,,,,-1,-10,0,0.00,0.00,,1,0,1,100%,21%,0,P,ollerad01
Spencer Patton,35,12,0,0,12.1,1,1,0,0,0,1.000,,,0,0,0,0.73,0.08,,0,1,1,50%,21%,0,P,pattosp01
Carlos Pérez,32,48,35,31,316.2,314,294,18,2,6,.994,1,5,0,0,-2,8.87,4.95,2,14,14,8,36%,21%,0,C-1B-P-LF-DH,perezca02
Francisco Pérez,25,17,1,0,16.2,2,0,2,0,0,1.000,,,0,0,0,1.08,0.12,,1,3,1,25%,21%,1,P,perezfr01
Jace Peterson,33,91,78,63,706.0,245,89,151,5,18,.980,-3,-5,-3,-5,-2,3.06,2.38,,0,0,0,,,0,3B-2B-P-LF-DH,peterja01
Manny Piña,36,2,2,0,13.0,15,14,0,1,0,.933,-1,-92,0,0,0,9.69,3.50,0,1,2,0,0%,21%,0,C-DH,pinama01
Austin Pruitt,33,38,6,0,48.1,5,1,4,0,0,1.000,,,1,4,0,0.93,0.13,,1,2,1,33%,21%,0,P,pruitau01
Yacksel Ríos,30,3,0,0,1.2,0,0,0,0,0,,,,0,0,,0.00,0.00,,2,0,0,,,0,P,riosya01
Brent Rooker,28,58,52,37,440.0,120,113,3,4,0,.967,-3,-7,-4,-11,0,2.37,0.85,,,,,,,,LF-RF-DH,rookebr01
Drew Rucinski,34,4,4,0,18.0,2,0,2,0,0,1.000,,,0,0,0,1.00,0.50,,0,0,1,100%,21%,0,P,rucindr01
Esteury Ruiz,24,128,112,100,1005.0,304,294,2,8,0,.974,-4,-4,-20,-24,-5,2.65,2.13,,,,,,,,CF-LF-RF-DH,ruizes01
Tayler Scott,31,8,1,0,8.0,1,1,0,0,0,1.000,,,0,0,0,1.13,0.13,,0,0,0,,,0,P,scottta02
JP Sears,27,32,32,0,172.1,12,2,9,1,2,.917,,,0,0,0,0.57,0.34,,2,15,8,35%,21%,3,P,searsjp01
Chad Smith,28,10,0,0,13.2,1,0,0,1,0,.000,,,0,0,0,0.00,0.00,,1,0,3,100%,21%,0,P,smithch12
Kevin Smith,26,47,36,28,328.0,124,40,82,2,13,.984,-4,-15,-1,-4,1,3.35,2.35,,,,,,,,SS-3B-DH,smithke05
Kirby Snead,28,15,0,0,11.2,4,2,1,1,0,.750,,,0,0,0,2.31,0.20,,3,1,0,0%,21%,0,P,sneadki01
Tyler Soderstrom,21,24,23,17,191.2,175,163,11,1,6,.994,-4,-26,-3,-19,-1,8.17,4.05,2,7,10,3,23%,21%,0,C-1B-DH,soderty01
Devin Sweet,26,5,0,0,6.2,1,1,0,0,0,1.000,,,0,0,0,1.35,0.20,,0,0,0,,,0,P,sweetde01
Freddy Tarnok,24,5,1,0,14.2,0,0,0,0,0,,,,0,0,,0.00,0.00,,2,1,0,0%,21%,0,P,tarnofr01
Cody Thomas,28,13,10,7,85.0,26,26,0,0,0,1.000,2,28,-1,-14,0,2.75,1.53,,,,,,,,RF-LF-DH,thomaco01
Tyler Wade,28,24,14,8,140.0,58,16,41,1,5,.983,-3,-21,-4,-34,-2,3.66,2.11,,,,,,,,SS-LF-3B-RF-DH,wadety01
Ken Waldichuk,25,35,22,0,141.0,17,3,10,4,0,.765,,,0,0,0,0.83,0.37,,7,7,6,46%,21%,3,P,waldike01
Spenser Watkins,30,1,1,0,4.1,0,0,0,0,0,,,,0,0,,0.00,0.00,,0,0,0,,,0,P,watkisp01
Infield Shifts,,,,,,,,,,,,,,4,,,,,,,,,,,,,-9999
Non-Shift Infield Positioning,,,,,,,,,,,,,,-2,,,,,,,,,,,,,-9999
Outfield Positioning,,,,,,,,,,,,,,-9,,,,,,,,,,,,,-9999
Team Totals,27.6,162,1458,1046,12777.0,5630,4259,1269,102,124,.982,-60,-6,-79,,,3.89,2.48,11,152,110,49,31%,21%,18,,-9999
Rank in 15 AL teams,,,,,,,,,14,,14,,,,,,,,,,,,,,,,-9999
