Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary,Name-additional
José Alvarado,28,42,0,0,41.1,0,0,0,0,0,,,,-1,-5,,0.00,0.00,,3,3,1,25%,19%,0,P,alvarjo03
Andrew Bellatti,31,27,0,0,24.2,1,1,0,0,0,1.000,,,0,0,0,0.36,0.04,,0,3,0,0%,19%,0,P,bellaan01
Alec Bohm,26,141,139,109,1239.1,665,484,172,9,50,.986,-6,-6,-12,-12,-1,4.76,3.79,,,,,,,,3B-1B-DH,bohmal01
Connor Brogdon,28,27,1,0,29.0,5,2,3,0,0,1.000,,,-1,-7,0,1.55,0.19,,2,5,1,17%,19%,0,P,brogdco01
Nick Castellanos,31,148,148,137,1292.1,264,254,10,0,4,1.000,-6,-5,-9,-8,2,1.84,1.69,,,,,,,,RF-DH,casteni01
Rodolfo Castro,24,12,6,5,68.0,22,5,15,2,3,.909,-1,-12,0,0,1,2.65,1.54,,,,,,,,3B-2B-DH,castrro01
Jake Cave,30,60,52,37,449.0,180,173,6,1,9,.994,1,1,2,5,-1,3.59,2.75,,,,,,,,LF-1B-RF-CF-DH,caveja01
Kody Clemens,27,43,36,28,322.0,287,261,25,1,19,.997,1,5,2,7,0,7.99,6.09,,0,0,0,,,0,1B-RF-P-SS-DH,clemeko01
Dylan Covey,31,28,1,0,39.0,4,3,1,0,0,1.000,,,0,0,0,0.92,0.14,,0,1,0,0%,19%,1,P,coveydy01
Seranthony Domínguez,28,57,0,0,50.0,10,4,3,3,1,.700,,,-1,-4,0,1.26,0.12,,1,4,0,0%,19%,0,P,dominse01
Drew Ellis,27,10,7,3,62.0,34,28,6,0,6,1.000,2,36,0,0,0,4.94,3.40,,,,,,,,3B-1B,ellisdr01
Bailey Falter,26,8,7,0,40.1,7,1,6,0,0,1.000,,,2,10,0,1.56,0.88,,0,2,3,60%,19%,2,P,falteba01
Dalton Guthrie,27,20,8,5,82.2,24,22,2,0,2,1.000,0,-7,4,58,0,2.61,1.09,,,,,,,,CF-LF-RF-3B,guthrda01
