Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary,Name-additional
Miguel Andujar,28,19,15,9,126.0,35,34,1,0,0,1.000,-5,-44,-3,-29,0,2.50,1.40,,,,,,,,RF-LF-DH,andujmi01
Ji Hwan Bae,23,107,92,61,826.0,297,167,120,10,21,.966,2,3,-8,-12,-1,3.13,2.22,,,,,,,,2B-CF-SS,baeji01
David Bednar,28,66,0,0,67.1,11,1,9,1,1,.909,,,1,3,0,1.34,0.15,,2,1,0,0%,19%,0,P,bednada01
Osvaldo Bido,27,16,9,0,50.2,8,2,6,0,0,1.000,,,1,4,0,1.42,0.50,,1,2,0,0%,19%,0,P,bidoos01
Cody Bolton,25,16,0,0,21.1,2,2,0,0,0,1.000,,,-1,-9,0,0.84,0.13,,0,1,0,0%,19%,0,P,boltoco01
Ryan Borucki,29,38,2,0,40.1,6,0,5,1,0,.833,,,1,5,0,1.12,0.13,,1,4,1,20%,19%,0,P,borucry01
Vinny Capra,26,7,5,4,46.0,22,8,13,1,2,.955,-1,-23,0,0,0,4.11,3.00,,,,,,,,2B-3B,capravi01
Rodolfo Castro,24,72,53,38,492.2,219,80,128,11,28,.950,-5,-12,-5,-12,-2,3.80,2.51,,,,,,,,SS-2B-3B-DH,castrro01
Jiman Choi,32,7,6,6,56.0,53,50,3,0,5,1.000,0,2,0,0,0,8.52,2.79,,,,,,,,1B-DH,choiji01
Roansy Contreras,23,19,11,0,68.1,10,8,2,0,0,1.000,,,-2,-6,0,1.32,0.53,,3,13,2,13%,19%,1,P,contrro01
Wil Crowe,28,5,0,0,9.2,3,0,3,0,0,1.000,,,-1,-21,0,2.79,0.60,,2,0,0,,,0,P,crowewi01
Oneil Cruz,24,9,9,7,73.0,31,11,19,1,6,.968,0,3,-1,-16,0,3.70,3.33,,,,,,,,SS,cruzon01
Henry Davis,23,49,49,37,419.1,66,59,3,4,1,.939,-17,-48,-9,-26,-2,1.33,1.00,0,0,0,0,,,0,RF-C-DH,davishe01
Chase De Jong,29,6,0,0,11.1,2,2,0,0,0,1.000,,,0,0,0,1.59,0.33,,1,0,0,,,0,P,dejonch01
Jason Delay,28,68,53,46,484.0,465,447,13,5,1,.989,-6,-15,2,5,-1,8.55,6.76,0,23,49,6,11%,19%,2,C,delayja01
Yerry De Los Santos,25,22,0,0,24.1,4,0,3,1,2,.750,,,0,0,0,1.11,0.14,,0,2,1,33%,19%,0,P,delosye01
Bailey Falter,26,10,7,0,40.1,4,0,4,0,0,1.000,,,0,0,0,0.89,0.40,,0,7,1,13%,19%,0,P,falteba01
Nick Gonzales,24,34,32,27,289.2,136,57,76,3,19,.978,-1,-4,0,0,-1,4.13,3.50,,,,,,,,2B-SS,gonzani01
Thomas Hatch,28,12,2,0,22.1,5,4,1,0,0,1.000,,,0,0,0,2.01,0.42,,2,1,1,50%,19%,0,P,hatchto01
Ke'Bryan Hayes,26,122,118,111,1037.2,365,93,266,6,33,.984,17,20,21,24,0,3.11,2.90,,,,,,,,3B-DH,hayeske01
Austin Hedges,30,65,61,41,507.0,537,522,8,7,4,.987,-3,-7,9,21,2,9.41,8.15,1,13,50,8,14%,19%,0,C,hedgeau01
Tyler Heineman,32,3,3,3,27.0,17,17,0,0,0,1.000,0,0,0,0,0,5.67,5.67,0,0,2,0,0%,19%,0,C,heinety01
Jose Hernandez,25,50,0,0,50.2,3,1,2,0,0,1.000,,,-2,-8,0,0.53,0.06,,5,7,0,0%,19%,0,P,hernajo03
Rich Hill,43,22,22,0,119.0,19,6,12,1,2,.947,,,-1,-2,0,1.36,0.82,,1,20,2,9%,19%,1,P,hillri01
Colin Holderman,27,58,0,0,56.0,13,8,4,1,0,.923,,,0,0,0,1.93,0.21,,3,6,2,25%,19%,0,P,holdeco01
Andre Jackson,27,12,7,0,43.2,7,6,1,0,0,1.000,,,0,0,0,1.44,0.58,,1,3,1,25%,19%,1,P,jacksan01
Connor Joe,30,121,100,56,887.0,457,421,34,2,37,.996,1,2,-5,-7,-3,4.62,3.14,,,,,,,,RF-1B-LF-DH,joeco01
Mitch Keller,27,32,32,1,194.1,40,18,21,1,4,.975,,,2,2,0,1.81,1.22,,5,12,2,14%,19%,1,P,kellemi03
Drew Maggi,34,2,1,0,11.0,1,0,1,0,0,1.000,0,22,0,0,0,0.82,0.33,,,,,,,,3B-DH,maggidr01
Tucupita Marcano,23,73,53,43,480.2,187,70,114,3,20,.984,-4,-9,-6,-15,0,3.45,2.36,,,,,,,,SS-2B-3B-DH,marcatu01
Mark Mathias,28,17,17,7,127.0,52,24,25,3,6,.942,-3,-32,-4,-38,0,3.47,2.58,,,,,,,,2B-RF-DH,mathima01
Andrew McCutchen,36,8,7,7,64.2,19,19,0,0,0,1.000,3,58,1,19,0,2.64,0.18,,,,,,,,RF-DH,mccutan01
Calvin Mitchell,24,1,1,1,9.0,0,0,0,0,0,,-1,-120,0,0,0,0.00,0.00,,,,,,,,RF,mitchca01
Carmen Mlodzinski,24,35,1,0,36.0,8,5,3,0,0,1.000,,,0,0,0,2.00,0.23,,0,3,1,25%,19%,0,P,mlodzca01
Dauri Moreta,27,55,0,0,58.0,10,5,3,2,0,.800,,,0,0,0,1.24,0.15,,3,6,0,0%,19%,0,P,moretda01
Kyle Nicolas,24,4,0,0,5.1,0,0,0,0,0,,,,0,0,,0.00,0.00,,1,0,0,,,0,P,nicolky01
Luis Ortiz,24,18,15,0,86.2,17,6,9,2,2,.882,,,0,0,0,1.56,0.83,,3,5,0,0%,19%,0,P,ortizlu03
Johan Oviedo,25,32,32,1,177.2,32,19,13,0,1,1.000,,,0,0,0,1.62,1.00,,7,9,3,25%,19%,0,P,oviedjo01
Chris Owings,31,11,7,3,66.0,20,11,9,0,5,1.000,1,11,0,0,0,2.73,1.67,,0,0,0,,,0,SS-CF-P,owingch01
Joshua Palacios,27,76,57,39,509.0,120,112,5,3,2,.975,-2,-4,0,0,-1,2.07,1.31,,,,,,,,RF-LF-CF-DH,palacjo01
Liover Peguero,22,59,56,40,493.0,236,92,139,5,35,.979,-3,-6,-7,-17,-1,4.22,3.21,,,,,,,,SS-2B,pegueli01
Angel Perdomo,29,30,0,0,29.0,2,1,1,0,1,1.000,,,0,0,0,0.62,0.07,,0,4,2,33%,19%,0,P,perdoan01
Quinn Priester,22,10,8,0,50.0,13,10,3,0,0,1.000,,,0,0,0,2.34,1.30,,5,2,0,0%,19%,0,P,priesqu01
Yohan Ramírez,28,26,0,0,34.1,7,3,4,0,1,1.000,,,-2,-12,0,1.83,0.27,,3,6,1,14%,19%,0,P,ramiryo01
Bryan Reynolds,28,125,125,103,1079.0,223,220,1,2,0,.991,-2,-3,-1,-1,0,1.84,1.42,,,,,,,,LF-CF-DH,reynobr01
Alfonso Rivas III,26,39,27,24,255.2,241,215,25,1,24,.996,2,9,2,9,0,8.45,6.00,,,,,,,,1B-LF,rivasal01
Endy Rodríguez,23,53,45,44,412.0,425,399,25,1,2,.998,0,0,3,9,0,9.26,7.71,5,21,21,9,30%,19%,0,C-1B-DH,rodrien01
Carlos Santana,37,85,85,72,721.1,669,595,70,4,55,.994,7,11,7,12,-1,8.30,7.07,,,,,,,,1B-DH,santaca01
Colin Selby,25,21,5,0,24.0,4,1,2,1,0,.750,,,0,0,0,1.13,0.14,,3,1,0,0%,19%,0,P,selbyco01
Canaan Smith-Njigba,24,12,9,3,78.0,18,18,0,0,0,1.000,-2,-26,1,15,0,2.08,1.50,,,,,,,,RF-LF,smithca05
Robert Stephenson,30,18,0,0,14.0,2,1,1,0,1,1.000,,,0,0,0,1.29,0.11,,0,0,1,100%,19%,0,P,stephro01
Hunter Stratton,26,8,0,0,12.0,2,2,0,0,0,1.000,,,0,0,0,1.50,0.25,,1,0,0,,,0,P,strathu01
Jack Suwinski,24,139,126,92,1113.0,300,297,2,1,0,.997,-13,-14,-9,-10,2,2.42,1.79,,,,,,,,CF-RF-LF-DH,suwinja01
Jared Triolo,25,52,51,43,448.2,223,107,113,3,20,.987,10,26,5,13,1,4.41,3.86,,,,,,,,3B-2B-1B-DH,triolja01
Duane Underwood Jr.,28,20,0,0,24.1,1,1,0,0,0,1.000,,,0,0,0,0.37,0.05,,0,1,1,50%,19%,0,P,underdu01
Vince Velasquez,31,8,8,0,37.1,3,1,2,0,0,1.000,,,-1,-5,0,0.72,0.38,,2,5,0,0%,19%,0,P,velasvi01
Alika Williams,24,45,33,27,301.2,108,31,73,4,18,.963,-1,-5,2,8,0,3.10,2.31,,,,,,,,SS,willial04
Rob Zastryzny,31,21,1,0,20.2,4,1,3,0,1,1.000,,,1,10,0,1.74,0.19,,2,1,1,50%,19%,0,P,zastrro01
Infield Shifts,,,,,,,,,,,,,,12,,,,,,,,,,,,,-9999
Non-Shift Infield Positioning,,,,,,,,,,,,,,2,,,,,,,,,,,,,-9999
Outfield Positioning,,,,,,,,,,,,,,-2,,,,,,,,,,,,,-9999
