Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary,Name-additional
Pedro Avila,26,14,6,0,50.1,12,5,6,1,0,.917,,,-1,-4,0,1.97,0.79,,5,3,0,0%,19%,0,P,avilape01
José Azocar,27,44,24,15,250.2,50,50,0,0,0,1.000,1,6,0,0,0,1.80,1.02,,,,,,,,RF-CF-LF-DH,azocajo01
Scott Barlow,30,25,0,0,29.1,5,0,5,0,1,1.000,,,-1,-7,0,1.53,0.20,,0,8,0,0%,19%,0,P,barlosc01
Matthew Batten,28,39,33,27,309.0,126,65,59,2,11,.984,-2,-6,-4,-16,0,3.61,2.82,,,,,,,,3B-2B-1B-SS-DH,battema01
Xander Bogaerts,30,146,146,141,1285.2,543,167,368,8,64,.985,10,9,-4,-4,-1,3.75,3.45,,,,,,,,SS-DH,bogaexa01
Luis Campusano,24,42,37,34,325.1,334,318,13,3,0,.991,-3,-11,-3,-11,-1,9.16,7.04,2,12,29,1,3%,19%,1,C-DH,campulu01
Drew Carlton,27,11,0,0,20.2,3,1,2,0,1,1.000,,,-1,-10,0,1.31,0.27,,1,0,1,100%,19%,0,P,carltdr01
Matt Carpenter,37,13,10,4,81.0,71,68,3,0,10,1.000,-1,-12,0,0,0,7.89,1.04,,,,,,,,1B-DH,carpema01
José Castillo,27,1,0,0,0.1,0,0,0,0,0,,,,0,0,,0.00,0.00,,0,0,0,,,0,P,castijo03
Jiman Choi,32,10,8,5,67.0,69,67,2,0,5,1.000,0,0,0,0,0,9.27,4.31,,,,,,,,1B-DH,choiji01
Garrett Cooper,32,31,24,21,223.0,212,202,8,2,14,.991,-1,-6,-1,-5,0,8.48,5.12,,,,,,,,1B-DH,coopega03
Tom Cosgrove,27,54,0,0,51.1,5,0,5,0,0,1.000,,,0,0,0,0.88,0.09,,1,1,1,50%,19%,0,P,cosgrto01
Nabil Crismatt,28,7,0,0,11.0,5,1,4,0,0,1.000,,,1,18,0,4.09,0.71,,2,1,1,50%,19%,0,P,crismna01
Jake Cronenworth,29,127,124,108,1105.1,928,804,121,3,94,.997,3,3,2,2,0,7.53,6.56,,,,,,,,1B-2B,croneja01
Nelson Cruz,42,1,33,0,1.0,1,1,0,0,0,1.000,0,0,0,0,0,9.00,0.02,,,,,,,,1B-DH,cruzne02
David Dahl,29,3,3,1,20.0,8,7,1,0,1,1.000,-1,-78,0,0,0,3.60,2.67,,,,,,,,RF,dahlda01
Yu Darvish,36,24,24,0,136.1,16,6,10,0,1,1.000,,,-3,-4,0,1.06,0.67,,1,17,4,19%,19%,0,P,darviyu01
Brandon Dixon,31,25,19,9,172.2,129,121,7,1,11,.992,1,10,3,21,0,6.67,3.66,,0,0,0,,,0,1B-RF-LF-P-DH,dixonbr01
Adam Engel,31,4,3,0,22.0,7,7,0,0,0,1.000,0,-16,-1,-55,0,2.86,1.75,,,,,,,,CF-LF,engelad01
Jose Espada,26,1,0,0,1.0,0,0,0,0,0,,,,0,0,,0.00,0.00,,0,0,0,,,0,P,espadjo01
Ben Gamel,31,3,3,2,26.0,9,7,0,2,0,.778,-1,-65,-1,-46,-1,2.42,1.40,,,,,,,,LF-RF-DH,gamelbe01
