Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary,Name-additional
Ty Adcock,26,12,0,0,15.2,4,1,3,0,0,1.000,,,0,0,0,2.30,0.33,,0,1,0,0%,21%,1,P,adcocty01
Eduard Bazardo,27,9,0,0,13.2,2,1,1,0,0,1.000,,,1,15,0,1.32,0.22,,0,2,0,0%,21%,0,P,bazared01
Prelander Berroa,23,2,0,0,1.2,0,0,0,0,0,,,,0,0,,0.00,0.00,,1,0,0,,,0,P,berropr01
Matt Brash,25,78,0,0,70.2,14,4,10,0,0,1.000,,,3,8,0,1.78,0.18,,11,5,0,0%,21%,0,P,brashma01
JB Bukauskas,26,1,0,0,1.0,1,1,0,0,0,1.000,,,0,0,0,9.00,1.00,,1,0,0,,,0,P,bukaujb01
José Caballero,26,90,70,58,644.1,319,108,205,6,51,.981,7,13,10,19,1,4.37,3.07,,,,,,,,2B-SS-3B-LF-DH,cabaljo01
Isaiah Campbell,25,27,0,0,28.2,3,1,1,1,0,.667,,,0,0,0,0.63,0.07,,2,4,0,0%,21%,0,P,campbis01
Dominic Canzone,25,34,27,22,250.1,66,63,2,1,0,.985,5,23,0,0,0,2.34,1.44,,,,,,,,LF-RF-DH,canzodo01
Diego Castillo,29,8,0,0,8.2,0,0,0,0,0,,,,0,0,,0.00,0.00,,0,0,0,,,0,P,castidi01
Luis Castillo,30,33,33,0,197.0,23,16,7,0,0,1.000,,,0,0,0,1.05,0.70,,3,6,6,50%,21%,1,P,castilu02
J.P. Crawford,28,144,144,134,1260.0,515,160,341,14,62,.973,1,1,-3,-3,0,3.58,3.48,,,,,,,,SS,crawfjp01
Matt Festa,30,8,0,0,9.0,1,1,0,0,0,1.000,,,-1,-22,0,1.00,0.13,,1,1,0,0%,21%,0,P,festama01
