Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary,Name-additional
Scott Alexander,33,55,8,0,48.1,18,5,12,1,1,.944,,,0,0,0,3.17,0.31,,7,7,0,0%,19%,0,P,alexasc02
Patrick Bailey,24,94,84,82,765.2,803,740,50,13,2,.984,6,9,13,20,-3,9.29,8.32,8,21,63,25,28%,19%,4,C-DH,bailepa01
Joey Bart,26,30,26,21,230.0,223,212,9,2,0,.991,-1,-5,-1,-5,-2,8.65,7.37,1,11,20,4,17%,19%,0,C,bartjo01
Matt Beaty,30,1,1,0,1.0,0,0,0,0,0,,,,0,0,,0.00,0.00,,0,0,0,,,0,P-DH,beatyma01
Tristan Beck,27,33,3,0,85.0,15,6,8,1,4,.933,,,1,2,0,1.48,0.42,,3,2,0,0%,19%,0,P,becktr01
John Brebbia,33,40,10,0,38.1,7,2,4,1,0,.857,,,1,5,1,1.41,0.15,,0,5,1,17%,19%,0,P,brebbjo01
Johan Camargo,29,8,5,5,49.1,22,8,14,0,2,1.000,-1,-27,-2,-49,0,4.01,2.75,,,,,,,,SS-3B,camarjo01
Alex Cobb,35,28,28,2,151.1,30,7,20,3,2,.900,,,-1,-1,-1,1.61,0.96,,7,13,3,19%,19%,2,P,cobbal01
Michael Conforto,30,110,104,76,873.0,162,155,5,2,1,.988,-11,-15,-1,-1,2,1.65,1.26,,,,,,,,RF-LF-DH,confomi01
Brandon Crawford,36,93,85,68,726.2,338,103,223,12,50,.964,-7,-12,-14,-4,-1,4.04,3.51,,0,0,0,,,0,SS-P,crawfbr01
J.D. Davis,30,126,114,98,1002.2,359,140,210,9,21,.975,-5,-6,-9,-11,-1,3.14,2.41,,,,,,,,3B-1B-DH,davisjd01
Paul DeJong,29,16,13,10,115.1,55,19,34,2,4,.964,0,-1,0,0,0,4.14,2.94,,,,,,,,SS-2B-DH,dejonpa01
Anthony DeSclafani,33,19,18,0,99.2,29,10,18,1,2,.966,,,2,4,0,2.53,1.47,,3,8,3,27%,19%,1,P,desclan01
Isan Díaz,27,6,6,5,55.0,31,11,20,0,5,1.000,1,26,2,44,0,5.07,5.17,,,,,,,,2B-3B,diazis01
Camilo Doval,25,69,0,0,67.2,7,2,4,1,0,.857,,,-3,-9,0,0.80,0.09,,10,12,5,29%,19%,0,P,dovalca01
Thairo Estrada,27,118,117,105,1034.2,536,179,349,8,79,.985,4,4,-3,-3,1,4.59,4.03,,,,,,,,2B-SS-LF-DH,estrath01
Tyler Fitzgerald,25,10,10,7,88.1,33,28,5,0,0,1.000,2,24,0,0,0,3.36,2.75,,,,,,,,CF-3B,fitzgty01
Wilmer Flores,31,78,61,41,556.0,492,420,63,9,41,.982,2,5,3,6,1,7.82,3.72,,,,,,,,1B-3B-2B-DH,florewi01
Mitch Haniger,32,57,53,43,454.2,92,89,1,2,0,.978,4,10,2,5,0,1.78,1.43,,,,,,,,LF-RF-DH,hanigmi01
Kyle Harrison,21,7,7,0,34.2,2,0,2,0,0,1.000,,,0,0,0,0.52,0.29,,0,3,3,50%,19%,1,P,harriky01
Sean Hjelle,26,15,0,0,29.0,13,6,7,0,0,1.000,,,1,7,0,4.03,0.87,,5,3,0,0%,19%,1,P,hjellse01
Luke Jackson,31,33,0,0,33.1,1,0,1,0,0,1.000,,,-2,-12,0,0.27,0.03,,3,7,0,0%,19%,0,P,jackslu01
