Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary,Name-additional
Grant Anderson,26,26,0,0,35.2,7,3,4,0,1,1.000,,,0,0,0,1.77,0.27,,1,5,2,29%,21%,0,P,andergr01
Joe Barlow,27,13,0,0,9.2,0,0,0,0,0,,,,0,0,,0.00,0.00,,0,1,0,0%,21%,0,P,barlojo01
Cody Bradford,25,20,8,0,56.0,4,1,3,0,0,1.000,,,0,0,0,0.64,0.20,,0,2,0,0%,21%,0,P,bradfco01
Brock Burke,26,53,0,0,59.2,6,3,3,0,1,1.000,,,-1,-3,0,0.91,0.11,,2,1,0,0%,21%,0,P,burkebr01
Evan Carter,20,23,19,17,174.2,41,38,3,0,0,1.000,2,13,6,41,1,2.11,1.71,,,,,,,,LF-CF-RF,carteev01
Aroldis Chapman,35,30,0,0,29.0,1,0,1,0,0,1.000,,,0,0,0,0.31,0.03,,7,0,0,,,0,P,chapmar01
Jacob deGrom,35,6,6,0,30.1,2,1,1,0,0,1.000,,,-2,-13,0,0.59,0.33,,1,5,1,17%,21%,0,P,degroja01
Dane Dunning,28,35,26,0,172.2,23,10,11,2,3,.913,,,1,1,1,1.09,0.60,,6,7,4,36%,21%,0,P,dunnida01
Ezequiel Duran,24,100,85,63,761.0,233,99,125,9,16,.961,-6,-10,-6,-9,-2,2.65,1.76,,,,,,,,SS-LF-3B-2B-1B-RF-DH,duranez01
Nathan Eovaldi,33,25,25,2,144.0,34,22,12,0,1,1.000,,,0,0,0,2.13,1.36,,2,8,4,33%,21%,1,P,eovalna01
Adolis García,30,140,138,118,1185.2,315,298,11,6,1,.981,15,15,6,6,0,2.35,2.06,,,,,,,,RF-CF-DH,garciad02
Mitch Garver,32,29,27,20,231.0,224,214,8,2,1,.991,0,0,-4,-21,-1,8.65,2.58,1,8,14,4,22%,21%,1,C-1B-DH,garvemi01
Jon Gray,31,29,29,1,157.1,22,10,11,1,0,.955,,,0,0,0,1.20,0.72,,4,12,9,43%,21%,2,P,grayjo02
Robbie Grossman,33,72,63,32,523.2,93,89,1,3,0,.968,-11,-26,-9,-21,-2,1.55,0.78,,,,,,,,LF-RF-DH,grossro01
Andrew Heaney,32,34,28,0,147.1,15,3,11,1,2,.933,,,0,0,0,0.86,0.41,,3,11,3,21%,21%,0,P,heanean01
Taylor Hearn,28,4,0,0,7.0,1,1,0,0,0,1.000,,,0,0,0,1.29,0.25,,0,3,0,0%,21%,0,P,hearnta01
Austin Hedges,30,17,5,3,63.2,73,71,2,0,0,1.000,1,19,2,38,0,10.32,3.65,0,2,1,1,50%,21%,0,C-P-DH,hedgeau01
Jonah Heim,28,124,116,94,993.1,980,938,40,2,8,.998,9,11,6,7,-1,8.86,7.41,7,31,58,24,29%,21%,1,C-DH,heimjo01
Jonathan Hernández,26,33,0,0,31.2,6,3,3,0,0,1.000,,,0,0,0,1.71,0.18,,2,2,0,0%,21%,0,P,hernajo02
Spencer Howard,26,3,0,0,3.1,1,1,0,0,0,1.000,,,0,0,0,2.70,0.33,,0,2,0,0%,21%,0,P,howarsp01
Sam Huff,25,12,3,2,49.0,43,43,0,0,1,1.000,0,-7,1,24,1,7.90,1.87,0,0,6,0,0%,21%,0,C-1B-DH,huffsa01
Travis Jankowski,32,104,63,52,622.0,135,135,0,0,0,1.000,6,12,6,12,0,1.95,1.22,,,,,,,,LF-CF-RF-DH,jankotr01
Josh Jung,25,121,120,117,1050.0,339,77,258,4,23,.988,10,11,0,0,0,2.87,2.77,,,,,,,,3B,jungjo01
Ian Kennedy,38,16,0,0,16.1,0,0,0,0,0,,,,0,0,,0.00,0.00,,1,1,0,0%,21%,0,P,kenneia01
John King,28,15,0,0,18.2,5,3,2,0,0,1.000,,,0,0,0,2.41,0.33,,0,0,0,,,0,P,kingjo01
Jacob Latz,27,3,0,0,6.1,1,0,1,0,0,1.000,,,0,0,0,1.42,0.33,,0,0,0,,,0,P,latzja01
José Leclerc,29,57,0,0,57.0,5,3,2,0,0,1.000,,,0,0,0,0.79,0.09,,2,2,2,50%,21%,0,P,leclejo01
Sandy León,34,22,11,8,112.0,119,117,1,1,0,.992,-1,-11,-1,-11,0,9.48,5.36,1,5,12,2,14%,21%,0,C-P,leonsa01
Nathaniel Lowe,27,161,161,152,1409.1,1330,1221,106,3,128,.998,8,7,3,3,0,8.47,8.24,,,,,,,,1B,lowena01
J.P. Martínez,27,10,9,8,81.2,24,24,0,0,0,1.000,0,-3,0,0,0,2.64,1.85,,,,,,,,LF-RF-CF-DH,martijp01
Brad Miller,33,7,16,0,13.0,8,7,1,0,0,1.000,-1,-55,0,0,0,5.54,0.29,,0,0,0,,,0,1B-3B-P-DH,millebr02
Jordan Montgomery,30,11,11,0,67.2,8,4,4,0,0,1.000,,,-1,-3,-1,1.06,0.73,,3,5,1,17%,21%,1,P,montgjo01
Jonathan Ornelas,23,7,2,0,19.0,2,1,1,0,0,1.000,0,-19,0,0,0,0.95,0.29,,,,,,,,3B-SS,orneljo01
Glenn Otto,27,6,0,0,10.2,2,0,2,0,0,1.000,,,0,0,0,1.69,0.33,,0,4,1,20%,21%,0,P,ottogl01
Martín Pérez,32,35,20,0,141.2,21,6,15,0,3,1.000,,,3,4,0,1.33,0.60,,2,3,1,25%,21%,0,P,perezma02
Cole Ragans,25,17,0,0,24.1,1,1,0,0,0,1.000,,,-1,-8,0,0.37,0.06,,2,2,0,0%,21%,0,P,raganco01
Yerry Rodríguez,25,13,1,0,13.2,1,1,0,0,0,1.000,,,-1,-15,0,0.66,0.08,,1,0,0,,,0,P,rodriye01
Josh Sborz,29,44,0,0,52.1,8,5,3,0,0,1.000,,,-1,-4,0,1.38,0.18,,3,4,0,0%,21%,0,P,sborzjo01
Max Scherzer,38,8,8,0,45.0,8,6,2,0,0,1.000,,,-1,-4,0,1.60,1.00,,1,2,0,0%,21%,0,P,scherma01
Corey Seager,29,112,112,94,951.2,423,139,276,8,69,.981,2,2,5,6,-1,3.92,3.49,,,,,,,,SS-DH,seageco01
Marcus Semien,32,162,162,150,1406.1,664,270,388,6,109,.991,6,5,16,14,1,4.21,4.06,,,,,,,,2B,semiema01
Josh H. Smith,25,75,48,35,475.0,160,53,100,7,20,.956,1,3,7,18,1,2.90,1.72,,,,,,,,3B-SS-LF-2B-DH,smithjo11
Will Smith,33,60,0,0,57.1,5,1,4,0,0,1.000,,,0,0,0,0.78,0.08,,1,7,2,22%,21%,2,P,smithwi04
Alex Speas,25,3,0,0,2.0,0,0,0,0,0,,,,0,0,,0.00,0.00,,1,0,1,100%,21%,0,P,speasal01
Chris Stratton,32,22,0,0,29.0,3,1,1,1,0,.667,,,0,0,0,0.62,0.09,,1,2,0,0%,21%,1,P,stratch01
Leody Taveras,24,140,138,136,1226.1,363,357,5,1,0,.997,-5,-5,3,3,0,2.66,2.55,,,,,,,,CF-DH,taverle01
Bubba Thompson,25,32,14,5,149.0,29,29,0,0,0,1.000,1,10,1,8,1,1.75,0.81,,,,,,,,LF-CF-RF-DH,thompbu01
Owen White,23,2,0,0,4.0,1,0,1,0,0,1.000,,,0,0,0,2.25,0.50,,0,0,0,,,0,P,whiteow01
Infield Shifts,,,,,,,,,,,,,,11,,,,,,,,,,,,,-9999
Non-Shift Infield Positioning,,,,,,,,,,,,,,-11,,,,,,,,,,,,,-9999
Outfield Positioning,,,,,,,,,,,,,,-3,,,,,,,,,,,,,-9999
Team Totals,28.5,162,1458,1109,12927.0,5789,4309,1423,57,143,.990,36,3,35,,,3.99,2.72,9,92,91,31,25%,21%,9,,-9999
Rank in 15 AL teams,,,,,,,,,1,,1,,,,,,,,,,,,,,,,-9999
