Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary,Name-additional
Anthony Bass,35,22,0,0,20.0,2,1,0,1,0,.500,,,0,0,0,0.45,0.05,,1,2,0,0%,21%,0,P,bassan01
Chris Bassitt,34,33,33,1,200.0,33,13,19,1,1,.970,,,1,1,0,1.44,0.97,,4,14,6,30%,21%,1,P,bassich01
Brandon Belt,35,29,28,21,242.2,205,197,7,1,16,.995,-1,-4,-2,-10,-1,7.57,2.08,,,,,,,,1B-DH,beltbr01
José Berríos,29,32,32,0,189.2,43,15,26,2,2,.953,,,5,5,1,1.95,1.28,,4,12,4,25%,21%,2,P,berrijo01
Bo Bichette,25,130,129,121,1136.1,395,122,265,8,59,.980,-3,-3,5,5,0,3.07,2.87,,,,,,,,SS-DH,bichebo01
Cavan Biggio,28,99,78,53,720.0,295,193,100,2,36,.993,-3,-5,-5,-8,-2,3.66,2.48,,,,,,,,2B-RF-1B-3B-SS-DH,biggica01
Génesis Cabrera,26,29,0,0,23.2,1,1,0,0,0,1.000,,,0,0,0,0.38,0.03,,1,2,0,0%,21%,0,P,cabrege01
Matt Chapman,30,137,137,132,1213.2,379,114,253,12,35,.968,17,16,12,12,-1,2.72,2.64,,,,,,,,3B-DH,chapmma01
Adam Cimber,32,22,0,0,20.2,3,1,2,0,0,1.000,,,0,0,0,1.31,0.14,,0,2,1,33%,21%,0,P,cimbead01
Ernie Clement,27,23,13,4,119.0,60,17,40,3,8,.950,3,25,4,7,0,4.31,2.11,,0,0,0,,,0,SS-2B-3B-P-DH,clemeer01
Hagen Danner,24,1,0,0,0.1,0,0,0,0,0,,,,0,0,,0.00,0.00,,0,0,0,,,0,P,danneha01
Paul DeJong,29,13,12,11,108.0,38,13,25,0,5,1.000,-1,-6,0,0,0,3.17,2.92,,,,,,,,SS,dejonpa01
Cam Eden,25,2,1,1,10.0,2,2,0,0,0,1.000,0,-36,0,0,0,1.80,0.50,,,,,,,,LF-DH,edenca01
Santiago Espinal,28,84,60,42,563.0,229,76,144,9,32,.961,-2,-4,-2,-4,0,3.52,2.44,,,,,,,,2B-3B-SS-DH,espinsa01
Bowden Francis,27,20,0,0,36.1,4,2,2,0,1,1.000,,,0,0,0,0.99,0.20,,1,1,0,0%,21%,0,P,francbo01
