Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary,Name-additional
Cory Abbott,27,22,0,0,39.1,1,0,1,0,1,1.000,,,-2,-10,0,0.23,0.05,,4,5,1,17%,19%,0,P,abbotco01
CJ Abrams,22,151,148,143,1294.2,651,245,384,22,100,.966,-7,-6,4,4,2,4.37,4.17,,,,,,,,SS,abramcj01
Riley Adams,27,40,38,36,336.2,303,293,8,2,1,.993,0,1,-4,-14,1,8.05,7.34,3,9,32,9,22%,19%,0,C-DH,adamsri03
Joan Adon,24,12,10,0,51.2,13,6,7,0,0,1.000,,,-1,-4,0,2.26,1.08,,6,9,0,0%,19%,1,P,adonjo01
Jake Alu,26,51,45,38,402.0,121,77,43,1,9,.992,1,3,-1,-3,0,2.69,2.14,,,,,,,,LF-2B-3B,aluja01
Anthony Banda,29,10,0,0,7.0,1,0,0,1,0,.000,,,-1,-29,0,0.00,0.00,,1,0,0,,,0,P,bandaan01
Travis Blankenhorn,26,10,10,7,85.0,17,17,0,0,0,1.000,-2,-34,0,0,0,1.80,1.55,,,,,,,,LF-RF,blanktr01
Alex Call,28,123,109,98,974.2,294,289,4,1,1,.997,5,7,7,9,1,2.71,2.36,,,,,,,,CF-LF-RF,callal02
Jeimer Candelario,29,97,97,91,834.1,235,57,172,6,20,.974,4,6,-1,-1,-1,2.47,2.34,,,,,,,,3B-DH,candeje01
Michael Chavis,27,38,27,15,229.2,120,51,69,0,22,1.000,5,28,5,26,0,4.70,2.67,,,,,,,,2B-3B-1B-LF-RF-DH,chavimi01
Patrick Corbin,33,32,32,0,180.0,49,11,36,2,3,.959,,,3,3,-1,2.35,1.47,,6,28,10,26%,19%,7,P,corbipa01
Corey Dickerson,34,44,38,14,288.2,73,69,1,3,0,.959,1,3,-3,-12,0,2.18,1.43,,,,,,,,LF-RF-DH,dickeco01
Jeter Downs,24,5,2,0,20.0,5,2,3,0,1,1.000,-2,-101,-2,-120,0,2.25,0.83,,,,,,,,SS-2B,downsje01
Carl Edwards Jr.,31,32,0,0,31.2,7,2,4,1,0,.857,,,0,0,0,1.71,0.19,,2,2,0,0%,19%,0,P,edwarca01
Paolo Espino,36,3,0,0,4.0,2,1,1,0,1,1.000,,,0,0,0,4.50,0.67,,0,0,0,,,0,P,espinpa01
Jose Ferrer,23,39,0,0,34.0,10,2,7,1,1,.900,,,1,6,0,2.38,0.23,,0,6,1,14%,19%,1,P,ferrejo01
Kyle Finnegan,31,67,0,0,69.1,17,9,8,0,1,1.000,,,-2,-6,0,2.21,0.25,,0,15,1,6%,19%,1,P,finneky01
Luis García Jr.,23,121,112,108,996.1,466,182,276,8,77,.983,-11,-13,-6,-7,0,4.14,3.79,,,,,,,,2B,garcilu04
Rico Garcia,29,3,0,0,3.0,1,0,1,0,0,1.000,,,0,0,0,3.00,0.33,,1,0,0,,,0,P,garciri01
Robert Garcia,27,24,0,0,31.2,8,2,5,1,0,.875,,,0,0,0,1.99,0.29,,2,4,2,33%,19%,1,P,garciro04
Stone Garrett,27,82,54,40,530.2,119,114,3,2,0,.983,10,23,5,11,-1,1.98,1.26,,,,,,,,LF-RF-DH,garrest01
MacKenzie Gore,24,27,27,0,136.1,18,2,15,1,1,.944,,,4,6,0,1.12,0.63,,6,10,3,23%,19%,3,P,gorema01
Josiah Gray,25,30,30,0,159.0,27,16,8,3,2,.889,,,-3,-4,0,1.36,0.80,,9,21,4,16%,19%,1,P,grayjo03
Hobie Harris,30,16,0,0,19.1,4,2,2,0,0,1.000,,,0,0,0,1.86,0.25,,1,3,0,0%,19%,0,P,harriho02
Hunter Harvey,28,57,0,0,60.2,4,2,2,0,0,1.000,,,-2,-7,0,0.59,0.07,,2,6,0,0%,19%,0,P,harvehu01
Derek Hill,27,13,13,13,116.0,36,35,0,1,0,.972,-4,-46,-1,-10,-1,2.72,2.69,,,,,,,,CF,hillde01
Jake Irvin,26,24,24,0,121.0,20,9,8,3,0,.850,,,-1,-2,0,1.26,0.71,,2,5,0,0%,19%,0,P,irvinja01
Carter Kieboom,25,26,22,15,191.0,47,17,28,2,3,.957,-2,-14,-1,-6,0,2.12,1.67,,,,,,,,3B-DH,kieboca01
Chad Kuhl,30,16,5,0,38.1,11,5,6,0,0,1.000,,,0,0,0,2.58,0.69,,4,9,3,25%,19%,2,P,kuhlch01
Joe La Sorsa,25,23,0,0,28.1,8,7,1,0,0,1.000,,,0,0,0,2.54,0.35,,0,3,0,0%,19%,0,P,lasorjo01
Andrés Machado,30,44,0,0,50.0,18,10,8,0,0,1.000,,,1,4,0,3.24,0.41,,1,11,0,0%,19%,0,P,machaan02
Joey Meneses,31,20,20,11,164.0,130,121,9,0,12,1.000,-2,-12,0,0,0,7.13,0.86,,,,,,,,1B-RF-DH,menesjo01
Drew Millas,25,10,8,8,77.0,68,65,2,1,1,.985,0,-4,-1,-16,0,7.83,6.70,0,2,9,2,18%,19%,0,C,milladr01
Tanner Rainey,30,1,0,0,1.0,0,0,0,0,0,,,,0,0,,0.00,0.00,,1,0,0,,,0,P,raineta01
Erasmo Ramírez,33,23,0,0,27.0,5,4,1,0,0,1.000,,,0,0,0,1.67,0.22,,0,1,0,0%,19%,0,P,ramirer02
Víctor Robles,26,36,35,34,303.0,82,81,1,0,1,1.000,-9,-34,-10,-40,0,2.44,2.28,,,,,,,,CF,roblevi01
